original,En2Afrikaans,Afrikaans2En,En2Albanian,Albanian2En,En2Amharic,Amharic2En,En2Arabic,Arabic2En,En2Armenian,Armenian2En,En2Azerbaijani,Azerbaijani2En,En2Basque,Basque2En,En2Belarusian,Belarusian2En,En2Bengali,Bengali2En,En2Bosnian,Bosnian2En,En2Bulgarian,Bulgarian2En
She is a biologist.,Sy is 'n bioloog. ,She's a biologist. ,Ajo është biologe. ,She is a biologist. ,የባዮሎጂ ባለሙያ ነች ፡፡ ,She is a biologist. ,هي عالمة أحياء. ,She is a biologist. ,Նա կենսաբան է: ,He is a biologist. ,Bioloqdur. ,He is a biologist. ,Biologoa da. ,He is a biologist. ,Яна біёлаг. ,She is a biologist. ,তিনি একজন জীববিজ্ঞানী। ,He is a scientist. ,Ona je biolog. ,She is a biologist. ,Тя е биолог. ,She is a biologist. 
She is a bookkeeper.,Sy is 'n boekhouer. ,She is a bookkeeper. ,Ajo është një llogaritare. ,She is an accountant. ,እሷ የመፅሀፍ ባለሙያ ነች ፡፡ ,She is a librarian. ,هي محاسبه. ,She is accountable. ,Նա հաշվապահ է: ,He is an accountant. ,"O, mühasibdir. ",He is an accountant. ,Liburutegia da. ,It’s the library. ,Яна - бухгалтар. ,She is an accountant. ,তিনি একজন বইকিপার। ,He is a bookkeeper. ,Ona je knjigovođa. ,She is an accountant. ,Тя е счетоводител. ,She is an accountant. 
She is a botanist.,Sy is 'n plantkundige. ,She is a botanist. ,Ajo është një botaniste. ,She is a botanist. ,እሷ የእጽዋት ተመራማሪ ናት ፡፡ ,She is a botanist. ,هي عالمة نبات. ,She is a botanist. ,Նա բուսաբան է: ,He is a botanist. ,"O, bir botanikdir. ",He is a botanist. ,Botanikoa da. ,It is botanical. ,Яна батанік. ,She is a botanist. ,তিনি একজন উদ্ভিদবিদ। ,He is a botanist. ,Ona je botaničar. ,She is a botanist. ,Тя е ботаник. ,She is a botanist. 
She is a builder.,Sy is 'n bouer. ,She is a builder. ,Ajo është ndërtuese. ,She is a builder. ,እሷ ግንበኛ ነች ፡፡ ,She is a builder. ,هي بانية. ,She is a builder. ,Նա շինարար է: ,He is a builder. ,"O, bir inşaatçıdır. ",He is a builder. ,Eraikitzailea da. ,He is a builder. ,Яна - будаўнік. ,She is a builder. ,তিনি একজন নির্মাতা। ,He is a creator. ,Ona je graditelj. ,She is a builder. ,Тя е строител. ,She is a builder. 
She is a businessperson.,Sy is 'n sakepersoon. ,She's a business person. ,Ajo është një biznesmen. ,She is a businessman. ,ነጋዴ ነች ፡፡ ,She is a merchant. ,هي سيدة أعمال. ,She is a business woman. ,Նա գործարար է: ,He is a businessman. ,"O, bir iş adamıdır. ",He is a businessman. ,Enpresaria da. ,She is an entrepreneur. ,Яна бізнесмен. ,She is a businessman. ,তিনি একজন ব্যবসায়ী। ,He is a businessman. ,Ona je poslovni čovjek. ,She is a businessman. ,Тя е бизнесмен. ,She is a businessman. 
She is a butcher.,Sy is 'n slagter. ,She's a butcher. ,Ajo është një kasap. ,She is a butcher. ,እርሷ እርባታ ነች ፡፡ ,She is a breeder. ,هي جزارة. ,She is a butcher. ,Նա մսագործ է: ,He is a butcher. ,Qəssabdır. ,He is a butcher. ,Harategia da. ,It's a butcher. ,Яна мяснік. ,She is a butcher. ,তিনি কসাই। ,He is a butcher. ,Ona je mesar. ,She is a butcher. ,Тя е месар. ,She is a butcher. 
She is a carpenter.,Sy is 'n skrynwerker. ,She's a carpenter. ,Ajo është një marangoz. ,She is a carpenter. ,አናጺ ናት ፡፡ ,She is a carpenter. ,هي نجارة. ,She is carpentry. ,Նա հյուսն է: ,He is a carpenter. ,Dülgərdir. ,He is a carpenter. ,Arotza da. ,He is a carpenter. ,Яна - цесляр. ,She is a carpenter. ,তিনি একজন ছুতার। ,He is a carpenter. ,Ona je stolar. ,She is a carpenter. ,Тя е дърводелец. ,She is a carpenter. 
She is a cashier.,Sy is 'n kassier. ,She's a cashier. ,Ajo është një arkëtare. ,She is a cashier. ,ገንዘብ ተቀባይ ናት ፡፡ ,She is a cashier. ,هي صراف. ,She is a cashier. ,Նա գանձապահ է: ,He is a treasurer. ,Kassirdir. ,He is a cashier. ,Kutxazaina da. ,He is an ATM. ,Яна касір. ,She is a cashier. ,তিনি একজন ক্যাশিয়ার। ,He is a cashier. ,Ona je blagajnica. ,She's the cashier. ,Тя е касиер. ,She is a cashier. 
She is a chef.,Sy is 'n sjef. ,She's a chef. ,Ajo është kuzhiniere. ,She is a cook. ,እርሷ aፍ ነች ፡፡ ,She is crazy. ,هي طاهية. ,She is a chef. ,Նա խոհարար է: ,She is a cook. ,"O, aşbazdır. ",He is a chef. ,Sukaldaria da. ,He is a cook. ,Яна - повар. ,She is a cook. ,তিনি একটি শেফ। ,He is a chef. ,Ona je kuhar. ,She's a chef. ,Тя е готвач. ,She is a cook. 
She is a chemist.,Sy is 'n chemikus. ,She's a chemist. ,Ajo është kimiste. ,She is a chemist. ,እሷ ኬሚስት ናት ፡፡ ,She is a chemist. ,هي كيميائية. ,She is chemical. ,Նա քիմիկոս է: ,He is a chemist. ,O kimyaçıdır. ,He is a chemist. ,Kimikaria da. ,He is a chemist. ,Яна хімік. ,She is a chemist. ,তিনি একজন রসায়নবিদ। ,He is a chemist. ,Ona je kemičarka. ,She's a chemist. ,Тя е химик. ,She is a chemist. 
She is a clergy advisor.,Sy is 'n geestelike adviseur. ,She is a spiritual advisor. ,Ajo është këshilltare e klerit. ,She is a clergy counselor. ,የሃይማኖት አባቶች አማካሪ ነች ፡፡ ,She is a counselor to the Fathers. ,هي مستشارة رجال دين. ,She is a religious advisor. ,Նա հոգևորականության խորհրդական է: ,He is a counselor in psychiatry. ,Ruhani məsləhətçisidir. ,He is a spiritual counselor. ,Elizgintzako aholkularia da. ,He is a clergy consultant. ,Яна - дарадца духавенства. ,She is a counselor to the clergy. ,তিনি একজন যাজক পরামর্শদাতা। ,He is a pastor counselor. ,Savetnica je sveštenstva. ,She is an advisor to the clergy. ,Тя е духовен съветник. ,She is a spiritual counselor. 
She is a clinical lab technician.,Sy is 'n kliniese laboratoriumtegnikus. ,She is a clinical laboratory technician. ,Ajo është teknike e laboratorit klinik. ,She is a clinical laboratory technician. ,እሷ ክሊኒካዊ የላብራቶሪ ቴክኒሽያን ናት ፡፡ ,She is a clinical laboratory technician. ,هي فني مختبر طبي. ,She is a medical lab technician. ,Նա կլինիկական լաբորատորիայի տեխնիկ է: ,He is a clinical laboratory technician. ,Klinik laboratoriya texnikidir. ,He is a clinical laboratory technician. ,Laborategi klinikoko teknikaria da. ,He is a clinical laboratory technician. ,Яна клінічны лабарант. ,She is a clinical laboratory assistant. ,তিনি একজন ক্লিনিকাল ল্যাব টেকনিশিয়ান। ,He is a clinical lab technician. ,Ona je klinički laboratorijski tehničar. ,She is a clinical laboratory technician. ,Тя е клиничен лаборант. ,She is a clinical laboratory assistant. 
She is a coach.,Sy is 'n afrigter. ,She's a coach. ,Ajo është një trajner. ,She is a coach. ,እሷ አሰልጣኝ ናት ፡፡ ,She is a coach. ,هي مدربة. ,She is trained. ,Նա մարզիչ է: ,He is a coach. ,Məşqçidir. ,He is a coach. ,Entrenatzailea da. ,He is a coach. ,Яна трэнер. ,She is a coach. ,তিনি একজন কোচ। ,He is a coach. ,Ona je trener. ,She's a coach. ,Тя е треньор. ,She is a coach. 
She is a developer.,Sy is 'n ontwikkelaar. ,She is a developer. ,Ajo është një zhvilluese. ,She is a developer. ,እሷ ገንቢ ነች ፡፡ ,She is constructive. ,هي مطورة. ,It is upgraded. ,Նա մշակող է: ,He is a developer. ,"O, bir geliştiricidir. ",He is a developer. ,Garatzailea da. ,He is a developer. ,Яна распрацоўшчык. ,She is a developer. ,তিনি একজন বিকাশকারী। ,He is a developer. ,Ona je programer. ,She is a programmer. ,Тя е разработчик. ,She is a developer. 
She is a dietitian.,Sy is 'n dieetkundige. ,She is a dietitian. ,Ajo është një dietologe. ,She is a nutritionist. ,እሷ የአመጋገብ ባለሙያ ናት ፡፡ ,She is a dietitian. ,هي اخصائية تغذية. ,She is a dietitian. ,Նա դիետոլոգ է: ,He is a nutritionist. ,Diyetoloqdur. ,He is a nutritionist. ,Dietista da. ,He is a dietitian. ,Яна дыетолаг. ,She is a nutritionist. ,তিনি ডায়েটিশিয়ান। ,He is a dietitian. ,Ona je dijetetičarka. ,She is a dietitian. ,Тя е диетолог. ,She is a nutritionist. 
She is an ecologist.,Sy is 'n ekoloog. ,She is an ecologist. ,Ajo është ekologe. ,She is an ecologist. ,እሷ የስነምህዳር ባለሙያ ነች ፡፡ ,She is an ecologist. ,هي عالمة بيئة. ,She is an environmental scientist. ,Նա բնապահպան է: ,He is an environmentalist. ,Ekoloqdur. ,He is an ecologist. ,Ekologista da. ,He is an ecologist. ,Яна - эколаг. ,She is an ecologist. ,তিনি একজন বাস্তুবিদ। ,He is an ecologist. ,Ona je ekolog. ,She is an ecologist. ,Тя е еколог. ,She is an ecologist. 
She is an editor.,Sy is 'n redakteur. ,She is an editor. ,Ajo është redaktore. ,She is an editor. ,እርሷ አርታኢ ናት ፡፡ ,She is the editor. ,هي محررة. ,She is edited. ,Նա խմբագիր է: ,He is an editor. ,Redaktordur. ,He is an editor. ,Editorea da. ,He is the editor. ,Яна рэдактар. ,She is an editor. ,তিনি সম্পাদক। ,He is the editor. ,Urednica je. ,She's an editor. ,Тя е редактор. ,She is an editor. 
She is an electrician.,Sy is 'n elektrisiën. ,She's an electrician. ,Ajo është elektriciste. ,She is an electrician. ,ኤሌክትሪክ ባለሙያ ናት ፡፡ ,She is an electrician. ,هي كهربائي. ,She is an electrician. ,Նա էլեկտրիկ է: ,He is an electrician. ,Elektrikçidir. ,He is an electrician. ,Elektrizista da. ,He is an electrician. ,Яна электрык. ,She is an electrician. ,তিনি একজন বৈদ্যুতিনবিদ। ,He is an electron. ,Ona je električar. ,She is an electrician. ,Тя е електротехник. ,She is an electrician. 
She is an EMT specialist.,Sy is 'n EMT-spesialis. ,She is an EMT specialist. ,Ajo është një specialist EMT. ,She is an EMT specialist. ,እሷ የ EMT ባለሙያ ነች ፡፡ ,She is an EMT professional. ,هي متخصصة في EMT. ,She is an EMT specialist. ,Նա EMT մասնագետ է: ,She is an EMT specialist. ,EMT mütəxəssisidir. ,He is an EMT specialist. ,EMT espezialista da. ,EMT is a specialist. ,Яна - спецыяліст па ЭМТ. ,She is an EMT specialist. ,তিনি একজন ইএমটি বিশেষজ্ঞ। ,He is an EMT specialist. ,Ona je EMT specijalista. ,She is an EMT specialist. ,Тя е специалист по ЕМТ. ,She is an EMT specialist. 
She is a farmer.,Sy is 'n boer. ,She is a farmer. ,Ajo është një fermer. ,She is a farmer. ,እርሷ ገበሬ ናት ፡፡ ,She is a farmer. ,هي مزارعة. ,She is a farmer. ,Նա հողագործ է: ,He is a farmer. ,Fermerdir. ,He is a farmer. ,Nekazaria da. ,He is a farmer. ,Яна фермер. ,She is a farmer. ,তিনি একজন কৃষক। ,He is a farmer. ,Ona je poljoprivrednica. ,She is a farmer. ,Тя е фермер. ,She is a farmer. 
She is a filmmaker.,Sy is 'n filmmaker. ,She is a filmmaker. ,Ajo është një kineast. ,She is a filmmaker. ,እሷ የፊልም ባለሙያ ነች ፡፡ ,She is a filmmaker. ,هي مخرجة أفلام. ,She is a filmmaker. ,Նա կինոգործիչ է: ,He is a filmmaker. ,"O, bir rejissordur. ",He is a director. ,Zinemagilea da. ,He is a filmmaker. ,Яна - рэжысёр. ,She is a director. ,তিনি একজন চলচ্চিত্র নির্মাতা। ,He is a filmmaker. ,Ona je filmaš. ,She is a filmmaker. ,Тя е режисьор. ,She is a director. 
She is a firefighter.,Sy is 'n brandweerman. ,She's a firefighter. ,Ajo është një zjarrfikëse. ,She is a firefighter. ,እሷ የእሳት አደጋ ተከላካይ ናት ፡፡ ,She is a firefighter. ,هي اطفاء. ,She is a firefighter. ,Նա հրշեջ է: ,He is a firefighter. ,Yanğınsöndürəndir. ,It is a fire extinguisher. ,Suhiltzailea da. ,He is a firefighter. ,Яна пажарная. ,She is a firefighter. ,সে একজন দমকলকর্মী। ,He is a firefighter. ,Ona je vatrogasac. ,She's a firefighter. ,Тя е пожарникарка. ,She is a firefighter. 
She is a fisherman.,Sy is 'n visserman. ,She's a fisherman. ,Ajo është një peshkatar. ,She is a fisherman. ,እሷ ዓሣ አጥማጅ ናት ፡፡ ,She is a fisherman. ,هي صياد. ,She is a hunter. ,Նա ձկնորս է: ,He is a fisherman. ,Balıqçıdır. ,He is a fisherman. ,Arrantzalea da. ,He is a fisherman. ,Яна - рыбак. ,She is a fisherman. ,তিনি একজন জেলে। ,He is a fisherman. ,Ona je ribar. ,She is a fisherman. ,Тя е рибар. ,She is a fisherman. 
She is a flight attendant.,Sy is 'n vlugkelner. ,She's a flight attendant. ,Ajo është një stjuardesë. ,She is a flight attendant. ,የበረራ አስተናጋጅ ነች ፡፡ ,She is a flight attendant. ,انها مضيفة طيران. ,She is a flight attendant. ,Նա բորտուղեկցորդուհի է: ,She is a flight attendant. ,"O, stüardessadır. ",She is a flight attendant. ,Hegaldi laguntzailea da. ,It’s a flight attendant. ,Яна - сцюардэса. ,She is a flight attendant. ,তিনি একটি ফ্লাইট অ্যাটেন্ডেন্ট। ,He is a flight attendant. ,Ona je stjuardesa. ,She's a flight attendant. ,Тя е стюардеса. ,She is a flight attendant. 
She is a geneticist.,Sy is 'n genetikus. ,She is a geneticist. ,Ajo është një gjenetiste. ,She is a geneticist. ,የጄኔቲክስ ተመራማሪ ናት ፡፡ ,She is a geneticist. ,هي عالمة وراثة. ,She is a geneticist. ,Նա գենետիկ է: ,He is genetic. ,Genetikdir. ,It's genetic. ,Genetista da. ,He is a geneticist. ,Яна генетык. ,She is a geneticist. ,তিনি একজন জেনেটিক বিশেষজ্ঞ। ,He is a geneticist. ,Ona je genetičar. ,She is a geneticist. ,Тя е генетик. ,She is a geneticist. 
She is a geologist.,Sy is 'n geoloog. ,She is a geologist. ,Ajo është gjeologe. ,She is a geologist. ,እሷ የጂኦሎጂ ባለሙያ ናት. ,She is a geologist. ,هي جيولوجية. ,She is geological. ,Երկրաբան է: ,He is a geologist. ,Geoloqdur. ,He is a geologist. ,Geologoa da. ,He is a geologist. ,Яна геолаг. ,She is a geologist. ,তিনি একজন ভূতত্ত্ববিদ। ,He is a geologist. ,Ona je geolog. ,She is a geologist. ,Тя е геолог. ,She is a geologist. 
She is a graphic designer.,Sy is 'n grafiese ontwerper. ,She is a graphic designer. ,Ajo është një stiliste grafike. ,She is a graphic stylist. ,እርሷ ግራፊክ ዲዛይነር ናት ፡፡ ,She is a graphic designer. ,هي مصممة جرافيك. ,She is a graphic designer. ,Նա գրաֆիկական դիզայներ է: ,He is a graphic designer. ,Qrafika dizayneri. ,Graphic designer. ,Diseinatzaile grafikoa da. ,He is a graphic designer. ,Яна графічны дызайнер. ,She is a graphic designer. ,তিনি একজন গ্রাফিক ডিজাইনার। ,He is a graphic designer. ,Grafički je dizajner. ,He is a graphic designer. ,Тя е графичен дизайнер. ,She is a graphic designer. 
She is a human resource specialist.,Sy is 'n menslike hulpbronspesialis. ,She is a human resources specialist. ,Ajo është specialiste e burimeve njerëzore. ,She is a human resources specialist. ,የሰው ኃይል ባለሙያ ነች ፡፡ ,She is a human resources professional. ,هي أخصائية موارد بشرية. ,She is a human resources specialist. ,Նա մարդկային ռեսուրսների մասնագետ է: ,He is a human resources specialist. ,İnsan resursları mütəxəssisidir. ,He is a human resources specialist. ,Giza baliabideetako espezialista da. ,He is a human resources specialist. ,Яна спецыяліст па кадрах. ,She is a HR specialist. ,তিনি একজন মানবসম্পদ বিশেষজ্ঞ। ,He is a human resource expert. ,Ona je stručnjak za ljudske resurse. ,She is a human resources expert. ,Тя е специалист по човешки ресурси. ,She is a human resources specialist. 
She is an immunologist.,Sy is 'n immunoloog. ,She's an immunologist. ,Ajo është një imunologe. ,She is an immunologist. ,የበሽታ መከላከያ ባለሙያ ነች ፡፡ ,She is an immunologist. ,هي اختصاصية مناعة. ,She is an immunologist. ,Նա իմունոլոգ է: ,He is an immunologist. ,İmmunoloqdur. ,He is an immunologist. ,Immunologoa da. ,He is an immunologist. ,Яна - імунолаг. ,She is an immunologist. ,তিনি একজন ইমিউনোলজিস্ট। ,He is an immunologist. ,Ona je imunolog. ,She's an immunologist. ,Тя е имунолог. ,She is an immunologist. 
She is an interpreters.,Sy is 'n tolk. ,She is an interpreter. ,Ajo është interpretuese. ,She is interpretive. ,እሷ አስተርጓሚዎች ናት ፡፡ ,She is an interpreter. ,هي مترجمة. ,She is translated. ,Նա թարգմանիչ է: ,He is a translator. ,Tərcüməçi. ,Translator. ,Interpreteak da. ,He is a performer. ,Яна перакладчыца. ,She is a translator. ,তিনি একটি দোভাষী। ,He is an interpreter. ,Ona je prevoditeljica. ,She is a translator. ,Тя е преводач. ,She is a translator. 
She is a jeweller.,Sy is 'n juwelier. ,She's a jeweler. ,Ajo është një argjendari. ,She is a jeweler. ,እሷ ጌጣጌጥ ናት ፡፡ ,She is a jeweler. ,هي صائغة. ,She is a jeweler. ,Նա ոսկերիչ է: ,She is a jeweler. ,O bir zərgərdir. ,He is a jeweler. ,Bitxigilea da. ,He is a jeweler. ,Яна ювелір. ,She is a jeweler. ,তিনি একজন জুয়েলারী। ,She is a jeweler. ,Ona je draguljar. ,She is a jeweler. ,Тя е бижутер. ,She is a jeweler. 
She is a lawyer.,Sy is 'n prokureur. ,She's a lawyer. ,Ajo është avokate. ,She is a lawyer. ,ጠበቃ ናት ፡፡ ,She is a lawyer. ,هي محامية. ,She is a lawyer. ,Նա իրավաբան է: ,He is a lawyer. ,O vəkildir. ,He is a lawyer. ,Abokatua da. ,He is a lawyer. ,Яна юрыст. ,She is a lawyer. ,তিনি একজন আইনজীবী. ,He is a lawyer. ,Ona je pravnica. ,She is a lawyer. ,Тя е адвокат. ,She is a lawyer. 
She is a librarian.,Sy is 'n bibliotekaris. ,She is a librarian. ,Ajo është bibliotekare. ,She is a librarian. ,የቤተ-መጻህፍት ባለሙያ ነች። ,She is a librarian. ,هي أمينة مكتبة. ,She is a librarian. ,Նա գրադարանավար է: ,He is a librarian. ,Kitabxanaçıdır. ,He is a librarian. ,Liburuzaina da. ,He is a librarian. ,Яна - бібліятэкар. ,She is a librarian. ,তিনি একজন গ্রন্থাগারিক। ,He is a librarian. ,Ona je bibliotekarka. ,She is a librarian. ,Тя е библиотекар. ,She is a librarian. 
She is a licensed practical nurse.,Sy is 'n gelisensieerde praktiese verpleegster. ,She is a licensed practical nurse. ,Ajo është një infermiere praktike e licencuar. ,She is a licensed practical nurse. ,ፈቃድ ያለው ተግባራዊ ነርስ ነች ፡፡ ,She is a licensed practical nurse. ,هي ممرضة عملية مرخصة. ,She is a licensed practical nurse. ,Նա արտոնագրված գործնական բուժքույր է: ,She is a licensed practitioner. ,Lisenziyalı praktik tibb bacısıdır. ,She is a licensed practical nurse. ,Lizentziadun erizain praktikoa da. ,She is a licensed practical nurse. ,Яна мае ліцэнзію практычнай медсястры. ,She is licensed as a practical nurse. ,তিনি একজন লাইসেন্সপ্রাপ্ত ব্যবহারিক নার্স। ,She is a licensed practical nurse. ,Licencirana je praktična medicinska sestra. ,She is a licensed practical nurse. ,Тя е лицензирана практическа медицинска сестра. ,She is a licensed practical nurse. 
She is a mechanic.,Sy is 'n werktuigkundige. ,She is a mechanic. ,Ajo është mekanike. ,It is mechanical. ,እሷ መካኒክ ናት ፡፡ ,She is a mechanic. ,هي ميكانيكي. ,She is a mechanic. ,Նա մեխանիկ է: ,He is a mechanic. ,Mexanikdir. ,It is mechanical. ,Mekanikaria da. ,He is a mechanic. ,Яна механізатар. ,She is a mechanic. ,তিনি একজন মেকানিক। ,He is a mechanic. ,Ona je mehaničar. ,She's a mechanic. ,Тя е механик. ,She is a mechanic. 
She is a medical laboratory scientist.,Sy is 'n mediese laboratoriumwetenskaplike. ,She is a medical laboratory scientist. ,Ajo është një shkencëtare e laboratorit mjekësor. ,She is a medical laboratory scientist. ,የህክምና ላብራቶሪ ሳይንቲስት ናት ፡፡ ,She is a medical laboratory scientist. ,هي عالمة مختبرات طبية. ,She is a medical laboratory scientist. ,Նա բժշկական լաբորատորիայի գիտնական է: ,He is a scientist in a medical laboratory. ,Tibbi laboratoriya alimidir. ,He is a medical laboratory scientist. ,Medikuntzako laborategiko zientzialaria da. ,He is a scientist in a medical laboratory. ,Яна - навуковец медыцынскай лабараторыі. ,She is a scientist in a medical laboratory. ,তিনি একটি চিকিত্সা পরীক্ষাগার বিজ্ঞানী। ,He is a medical laboratory scientist. ,Ona je naučnik iz medicinske laboratorije. ,She is a scientist from a medical laboratory. ,Тя е учен от медицинска лаборатория. ,She is a scientist from a medical laboratory. 
She is a meteorologist.,Sy is 'n weerkundige. ,She's a meteorologist. ,Ajo është meteorologe. ,She is a meteorologist. ,እርሷ የሜትሮሎጂ ባለሙያ ናት ፡፡ ,She is a meteorologist. ,هي عالمة أرصاد جوية. ,She is a meteorologist. ,Նա օդերեւութաբան է: ,He is a meteorologist. ,Meteoroloqdur. ,He is a meteorologist. ,Meteorologoa da. ,He is a meteorologist. ,Яна - метэаролаг. ,She is a meteorologist. ,তিনি একজন আবহাওয়াবিদ। ,He is a meteorologist. ,Ona je meteorolog. ,She's a meteorologist. ,Тя е метеоролог. ,She is a meteorologist. 
She is a midwife.,Sy is 'n vroedvrou. ,She is a midwife. ,Ajo është një mami. ,She is a mom. ,እርሷ አዋላጅ ነች ፡፡ ,She is a midwife. ,هي قابلة. ,She is a midwife. ,Նա մանկաբարձուհի է: ,She is a midwife. ,Mama. ,Mama. ,Emagina da. ,She is a midwife. ,Яна акушэрка. ,She is a midwife. ,তিনি একজন ধাত্রী। ,She is a midwife. ,Ona je babica. ,She is a midwife. ,Тя е акушерка. ,She is a midwife. 
