original,En2Pashto,Pashto2En,En2Persian,Persian2En,En2Polish,Polish2En,En2Portuguese,Portuguese2En,En2Punjabi,Punjabi2En,En2Romanian,Romanian2En,En2Russian,Russian2En,En2Samoan,Samoan2En,En2Scots_Gaelic,Scots_Gaelic2En,En2Serbian,Serbian2En,En2Sesotho,Sesotho2En,En2Shona,Shona2En
She is a biologist.,هغه بیولوژیست ده ,She is a biologist ,او یک زیست شناس است. ,He is a biologist. ,Jest biologiem. ,He is a biologist. ,Ela é bióloga. ,She is a biologist. ,ਉਹ ਜੀਵ-ਵਿਗਿਆਨੀ ਹੈ. ,He is a biologist. ,Este biologă. ,She's a biologist. ,Она биолог. ,She's a biologist. ,O ia o se biologist. ,He is a biologist. ,Tha i na bith-eòlaiche. ,She is a biologist. ,Она је биолог. ,She is a biologist. ,Ke setsebi sa baeloji. ,I am a biologist. ,Iye - biologist. ,He - biologist. 
She is a bookkeeper.,هغه یو کتاب ساتونکی دی ,He is a book keeper ,او دفتردار است. ,He is a clerk. ,Jest księgową. ,She is an accountant. ,Ela é contadora. ,She is an accountant. ,ਉਹ ਇੱਕ ਬੁੱਕ ਕੀਪਰ ਹੈ. ,He is a book keeper. ,Este contabilă. ,She's an accountant. ,Она бухгалтер. ,She is a bookkeeper. ,O ia o se tausi tusi. ,He is an accountant. ,Tha i na neach-glèidhidh leabhraichean. ,She is a bookkeeper. ,Она је књиговођа. ,She is an accountant. ,Ke mohlokomeli oa libuka. ,I am a librarian. ,Iye mubhuki. ,He is a bookmaker. 
She is a botanist.,هغه نباتات ده ,She is a plant ,او گیاه شناس است. ,He is a botanist. ,Jest botanikiem. ,He is a botanist. ,Ela é uma botânica. ,She is a botanist. ,ਉਹ ਇੱਕ ਬਨਸਪਤੀ ਵਿਗਿਆਨੀ ਹੈ. ,He is a botanist. ,Este botanică. ,It's botany. ,Она ботаник. ,She's a nerd. ,O ia o se fai vailaʻau. ,He is a pharmacist. ,Tha i na luibh-eòlaiche. ,She is a botanist. ,Она је ботаничар. ,She is a botanist. ,Ke setsebi sa limela. ,I am a botanist. ,Iye botanist. ,He's a botanist. 
She is a builder.,هغه جوړونکی ده ,He is the creator ,او سازنده است. ,He is a builder. ,Ona jest budowniczym. ,She is a builder. ,Ela é uma construtora. ,She is a builder. ,ਉਹ ਇੱਕ ਬਿਲਡਰ ਹੈ. ,He is a builder. ,Este constructor. ,He's a builder. ,Она строитель. ,She is a builder. ,O ia o se tufuga. ,He is an artist. ,Tha i na neach-togail. ,She is a builder. ,Она је градитељ. ,She is a builder. ,Ke sehahi. ,I am a builder. ,Iye muvaki. ,He is the builder. 
She is a businessperson.,هغه یو سوداګره ښځه ده. ,She is a business woman. ,او یک تاجر است. ,He is a businessman. ,Ona jest biznesmenką. ,She is a businesswoman. ,Ela é uma pessoa de negócios. ,She is a business person. ,ਉਹ ਇਕ ਬਿਜ਼ਨਸਪਰਸਨ ਹੈ. ,He is a businessman. ,Este om de afaceri. ,He's a businessman. ,Она бизнесмен. ,She is a businessman. ,O ia o se pisinisi. ,He is a business. ,Tha i na neach-gnìomhachais. ,She is a businessman. ,Она је пословни човек. ,She is a businessman. ,Ke rakhoebo. ,I'm a businessman. ,Iye muzvinabhizinesi. ,He is a businessman. 
She is a butcher.,هغه قصاب ده ,She is a butcher ,او قصاب است. ,He is a butcher. ,Ona jest rzeźnikiem. ,She is a butcher. ,Ela é uma açougueira. ,She is a butcher. ,ਉਹ ਇੱਕ ਕਸਾਈ ਹੈ. ,He is a butcher. ,Este măcelar. ,He's a butcher. ,Она мясник. ,She's a butcher. ,O ia o se fasi manu. ,He is a piece of animal. ,Tha i na bùidsear. ,She is a butcher. ,Она је месар. ,She is a butcher. ,Ke setlai. ,I am a joker. ,Iye mubhucha. ,He is a butcher. 
She is a carpenter.,هغه ترکاenter ده. ,He is a Turkish enter. ,او نجاری است. ,He is a carpenter. ,Ona jest stolarzem. ,She is a carpenter. ,Ela é carpinteira. ,She is a carpenter. ,ਉਹ ਤਰਖਾਣ ਹੈ। ,He is a carpenter. ,Este dulgher. ,He's a carpenter. ,Она плотник. ,She is a carpenter. ,O ia o se kamuta. ,He is a carpenter. ,Tha i na saoir. ,She is a carpenter. ,Она је столар. ,She is a carpenter. ,Ke 'metli oa mapolanka. ,He is a carpenter. ,Iye muvezi. ,He is a carpenter. 
She is a cashier.,هغه یوه کیشیر ده ,She is a cashier ,او صندوقدار است. ,He is a cashier. ,Jest kasjerką. ,She is a cashier. ,Ela é uma caixa. ,She is a box. ,ਉਹ ਇਕ ਕੈਸ਼ੀਅਰ ਹੈ. ,He is a cashier. ,Este casieră. ,She's a cashier. ,Она кассир. ,She is a cashier. ,O ia o se kesia. ,He is a cashier. ,Tha i na ionmhasair. ,She is a treasurer. ,Она је благајница. ,She's the cashier. ,Ke mofani oa chelete. ,I am a donor. ,Iye mubati. ,He is the master. 
She is a chef.,هغه شیف ده. ,She is a chef. ,او یک آشپز است. ,He is a chef. ,Ona jest szefem kuchni. ,She is the chef. ,Ela é uma chef. ,She is a chef. ,ਉਹ ਇੱਕ ਸ਼ੈੱਫ ਹੈ. ,He is a chef. ,Este bucătar. ,He's a cook. ,Она шеф-повар. ,She's a chef. ,O ia o se kuka. ,She is a cook. ,Tha i na còcaire. ,She is a cook. ,Она је кувар. ,She's a cook. ,Ke seapehi. ,I am a cook. ,Iye shefu. ,He's a boss. 
She is a chemist.,هغه یوه کیمیا ده. ,He is a chemist. ,او یک شیمی دان است. ,He is a chemist. ,Ona jest chemikiem. ,She is a chemist. ,Ela é uma química. ,She's a chemist. ,ਉਹ ਇੱਕ ਕੈਮਿਸਟ ਹੈ. ,He is a chemist. ,Este chimistă. ,She's a chemist. ,Она химик. ,She is a chemist. ,O ia o se kemisi. ,He is a chemist. ,Tha i na ceimigear. ,She is a chemist. ,Она је хемичар. ,She is a chemist. ,Ke rakhemisi. ,I am a pharmacist. ,Iye wemakemikari. ,He's a chemist. 
She is a clergy advisor.,هغه د پادری سلاکاره ده. ,She is a pastor's advisor. ,او مشاور روحانیت است. ,He is an advisor to the clergy. ,Jest doradcą duchowieństwa. ,He is an advisor to the clergy. ,Ela é uma conselheira do clero. ,She is an adviser to the clergy. ,ਉਹ ਇੱਕ ਪਾਦਰੀਆਂ ਦੀ ਸਲਾਹਕਾਰ ਹੈ. ,He is a pastor's counselor. ,Este consilier al clerului. ,He is an adviser to the clergy. ,Она советник духовенства. ,She is an advisor to the clergy. ,O ia o se faufautua faufautua. ,He is a consulting consultant. ,Tha i na comhairliche clèireach. ,She is a clerical councilor. ,Она је саветник за свештенство. ,She is a priest counselor. ,Ke moeletsi oa baruti. ,He is a clergyman's adviser. ,Iye mupi wezano wevafundisi. ,He is the counselor of the clergy. 
She is a clinical lab technician.,هغه د کلینیکي لابراتوار تخنیکي ده. ,She is a clinical laboratory technician. ,او یک تکنسین آزمایشگاه بالینی است. ,He is a clinical laboratory technician. ,Jest technikiem laboratoryjnym. ,He is a laboratory technician. ,Ela é técnica de laboratório clínico. ,She is a clinical laboratory technician. ,ਉਹ ਕਲੀਨਿਕਲ ਲੈਬ ਟੈਕਨੀਸ਼ੀਅਨ ਹੈ. ,He is a Clinical Lab Technician. ,Este tehnician de laborator clinic. ,He is a clinical laboratory technician. ,Она техник клинической лаборатории. ,She is a clinical laboratory technician. ,O ia o se falemaʻi falemaʻi tekinisia. ,He is a medical technician. ,Tha i na theicneòlaiche lab clionaigeach. ,She is a clinical lab technician. ,Она је клинички лабораторијски техничар. ,She is a clinical laboratory technician. ,Ke setsebi sa bongaka sa laboratori. ,I am a medical laboratory technician. ,Iye chiremba wekiriniki. ,She is a clinical doctor. 
She is a coach.,هغه کوچ ده. ,She is a coach. ,او مربی است. ,He is a coach. ,Jest trenerem. ,He is a coach. ,Ela é uma treinadora. ,She is a coach. ,ਉਹ ਕੋਚ ਹੈ। ,He is a coach. ,Este antrenor. ,He's a coach. ,Она тренер. ,She is a coach. ,O ia o se faiaoga. ,He is a teacher. ,Tha i na coidse. ,She is a coach. ,Она је тренер. ,She's a coach. ,Ke mokoetlisi. ,I am a coach. ,Iye murairidzi. ,He is an instructor. 
She is a developer.,هغه پرمختیا کونکی ده ,She is a developer ,او یک توسعه دهنده است. ,He is a developer. ,Jest programistą. ,He is a programmer. ,Ela é uma desenvolvedora. ,She is a developer. ,ਉਹ ਇੱਕ ਵਿਕਾਸਕਾਰ ਹੈ. ,He is a developer. ,Ea este dezvoltator. ,She is a developer. ,Она разработчик. ,She's a developer. ,O ia o se atinaʻe. ,He is an entrepreneur. ,Tha i na leasaiche. ,She is a therapist. ,Она је програмер. ,She is a programmer. ,Ke moqapi. ,I am a designer. ,Iye anovandudza. ,He improves. 
She is a dietitian.,هغه د رژیم متخصصه ده ,She is a dietitian ,او یک متخصص رژیم درمانی است. ,He is a dietitian. ,Jest dietetykiem. ,He is a dietitian. ,Ela é nutricionista. ,She is a nutritionist. ,ਉਹ ਇੱਕ ਡਾਇਟੀਸ਼ੀਅਨ ਹੈ. ,He is a dietitian. ,Este dietetician. ,He's a dietitian. ,Она диетолог. ,She is a nutritionist. ,O ia o se foma i o mea taumafa. ,He is a dietitian. ,Tha i na dietitian. ,She is a dietitian. ,Она је дијететичар. ,She is a dietitian. ,Ke setsebi sa phepo. ,I am a nutritionist. ,Iye chiremba. ,He's a doctor. 
She is an ecologist.,هغه ايکولوژيکه ده. ,She is ecological. ,او یک بوم شناس است. ,He is an ecologist. ,Jest ekologiem. ,He is an ecologist. ,Ela é uma ecologista. ,She is an ecologist. ,ਉਹ ਇਕ ਵਾਤਾਵਰਣ ਸ਼ਾਸਤਰੀ ਹੈ. ,He is an ecologist. ,Este ecologistă. ,She's an environmentalist. ,Она эколог. ,She is an environmentalist. ,O ia o se ecologist. ,He is an ecologist. ,Tha i na eag-eòlaiche. ,She is an ecologist. ,Она је еколог. ,She is an ecologist. ,Ke setsebi sa tikoloho. ,I am an environmentalist. ,Ndiye ecologist. ,I am an ecologist. 
She is an editor.,هغه یوه مدیر ده. ,She is a manager. ,او یک ویراستار است. ,He is an editor. ,Jest redaktorką. ,She is an editor. ,Ela é uma editora. ,She is a publisher. ,ਉਹ ਇੱਕ ਸੰਪਾਦਕ ਹੈ. ,He is an editor. ,Este editor. ,This is the editor. ,Она редактор. ,She's an editor. ,O ia o se faatonu. ,He is a director. ,Tha i na neach-deasachaidh. ,She is an editor. ,Она је уредница. ,She is an editor. ,Ke mohlophisi. ,I am an editor. ,Iye mupepeti. ,He's an editor. 
She is an electrician.,هغه بریښنایی ده. ,He is electric. ,او یک برق است. ,He is an electrician. ,Jest elektrykiem. ,He is an electrician. ,Ela é eletricista. ,She is an electrician. ,ਉਹ ਇਕ ਇਲੈਕਟ੍ਰੀਸ਼ੀਅਨ ਹੈ. ,She is an electrician. ,Este electriciană. ,She's an electrician. ,Она электрик. ,She is an electrician. ,O ia o se fai eletise. ,He is an electrician. ,Tha i na dealanach. ,She is lightning. ,Она је електричар. ,She is an electrician. ,Ke setsebi sa motlakase. ,I am an electrician. ,Iye magetsi. ,He electric. 
She is an EMT specialist.,هغه د EMT متخصص ده. ,She is an EMT specialist. ,او یک متخصص EMT است. ,He is an EMT specialist. ,Jest specjalistą EMT. ,He is an EMT specialist. ,Ela é uma especialista EMT. ,She is an EMT specialist. ,ਉਹ ਇੱਕ ਈਐਮਟੀ ਮਾਹਰ ਹੈ. ,He is an EMT specialist. ,Este specialist EMT. ,He is an EMT specialist. ,Она врач скорой помощи. ,She is an emergency doctor. ,O ia o se EMT faʻapitoa. ,He is a specialist EMT. ,Tha i na eòlaiche EMT. ,She is an EMT expert. ,Она је специјалиста за ЕМТ. ,She is an EMT specialist. ,Ke setsebi sa EMT. ,I am an EMT specialist. ,Iye inyanzvi EMT. ,He is a professional EMT. 
She is a farmer.,هغه بزګره ده ,She is a farmer ,او یک کشاورز است. ,He is a farmer. ,Ona jest rolnikiem. ,She is a farmer. ,Ela é uma agricultora. ,She is a farmer. ,ਉਹ ਇੱਕ ਕਿਸਾਨ ਹੈ. ,He is a farmer. ,Este fermieră. ,She's a farmer. ,Она фермер. ,She is a farmer. ,O ia o se faifaatoʻaga. ,He is a farmer. ,Tha i na thuathanach. ,She is a farmer. ,Она је пољопривредница. ,She is a farmer. ,Ke sehoai. ,I am a farmer. ,Iye murimi. ,He is a farmer. 
She is a filmmaker.,هغه یوه فلم جوړونکې ده ,She is a filmmaker ,او یک فیلمساز است. ,He is a filmmaker. ,Jest filmowcem. ,He is a filmmaker. ,Ela é uma cineasta. ,She is a filmmaker. ,ਉਹ ਇੱਕ ਫਿਲਮ ਨਿਰਮਾਤਾ ਹੈ. ,He is a filmmaker. ,Este cineastă. ,She's a filmmaker. ,Она кинорежиссер. ,She is a filmmaker. ,O ia o se tagata fai ata tifaga. ,He is a filmmaker. ,Tha i na filmeadair. ,She is a filmmaker. ,Она је филмска ауторка. ,She is a filmmaker. ,Ke moetsi oa lifilimi. ,He is a filmmaker. ,Iye mugadziri wefirimu. ,He is a filmmaker. 
She is a firefighter.,هغه اور وژونکې ده ,She is a firefighter ,او یک آتش نشان است. ,He is a firefighter. ,Ona jest strażakiem. ,She is a firefighter. ,Ela é bombeira. ,She is a firefighter. ,ਉਹ ਅੱਗ ਬੁਝਾਉਣ ਵਾਲੀ ਹੈ. ,She is a firefighter. ,Este pompieră. ,She's a firefighter. ,Она пожарный. ,She's a firefighter. ,O ia o se tagata fuimu. ,He is a firefighter. ,Tha i na neach-smàlaidh. ,She is a firefighter. ,Она је ватрогасац. ,She's a firefighter. ,Ke setima-mollo. ,I am a firefighter. ,Iye muridzi wemoto. ,He is the owner of the fire. 
She is a fisherman.,هغه کب نیولی ده ,He has caught fish ,او یک ماهیگیر است. ,He is a fisherman. ,Ona jest rybakiem. ,She is a fisherman. ,Ela é uma pescadora. ,She is a fisherman. ,ਉਹ ਇੱਕ ਮਛੇਰ ਹੈ. ,He is a fisherman. ,Este pescar. ,This fisherman. ,Она рыбак. ,She is a fisherman. ,O ia o se faifaiva. ,He is a fisherman. ,Tha i na iasgair. ,She is a fisherman. ,Она је рибар. ,She is a fisherman. ,Ke motšoasi oa litlhapi. ,I am a fisherman. ,Iye mubati wehove. ,He is a fisherman. 
She is a flight attendant.,هغه د الوتنې خدمتګار ده ,She is a flight attendant ,او یک مهماندار هواپیما است. ,He is a flight attendant. ,Ona jest stewardesą. ,She is a flight attendant. ,Ela é uma comissária de bordo. ,She is a flight attendant. ,ਉਹ ਇੱਕ ਫਲਾਈਟ ਅਟੈਂਡੈਂਟ ਹੈ. ,He is a flight attendant. ,Este însoțitoare de zbor. ,She is a flight attendant. ,Она стюардесса. ,She is a stewardess. ,O ia o se tagata faigaluega vaalele. ,He is an airline employee. ,Tha i na neach-frithealaidh itealain. ,She is a flight attendant. ,Она је стјуардеса. ,She's a flight attendant. ,Ke mosebeletsi oa sefofane. ,I am a flight attendant. ,Iye anoshanda mundege. ,He works on a plane. 
She is a geneticist.,هغه یوه ژنیتیک ده ,She is a geneticist ,او یک متخصص ژنتیک است. ,He is a geneticist. ,Jest genetykiem. ,He is a geneticist. ,Ela é uma geneticista. ,She is a geneticist. ,ਉਹ ਜੈਨੇਟਿਕਿਸਟ ਹੈ. ,He is a geneticist. ,Este geneticiană. ,She's a geneticist. ,Она генетик. ,She is a geneticist. ,O ia o se kenera. ,He is a genius. ,Tha i na eòlaiche ginteil. ,She is a geneticist. ,Она је генетичар. ,She is a geneticist. ,Ke setsebi sa lefutso. ,I am a geneticist. ,Iye genetiki. ,He is genetic. 
She is a geologist.,هغه یوه جیولوژیست ده ,She is a geologist ,او زمین شناس است. ,He is a geologist. ,Jest geologiem. ,He is a geologist. ,Ela é geóloga. ,She is a geologist. ,ਉਹ ਭੂ-ਵਿਗਿਆਨੀ ਹੈ। ,He is a geologist. ,Este geolog. ,He's a geologist. ,Она геолог. ,She is a geologist. ,O ia o se geologist. ,He is a geologist. ,Tha i na clach-eòlaiche. ,She is a geologist. ,Она је геолог. ,She is a geologist. ,Ke setsebi sa jioloji. ,I am a geologist. ,Ndiye geologist. ,She is a geologist. 
She is a graphic designer.,هغه یو ګرافیک ډیزاینر دی. ,He is a graphic designer. ,او یک طراح گرافیک است. ,He is a graphic designer. ,Jest grafikiem. ,He is a graphic designer. ,Ela é designer gráfica. ,She is a graphic designer. ,ਉਹ ਇੱਕ ਗ੍ਰਾਫਿਕ ਡਿਜ਼ਾਈਨਰ ਹੈ. ,She is a graphic designer. ,Este designer grafic. ,He is a graphic designer. ,Она графический дизайнер. ,She is a graphic designer. ,O ia o se tusiata ata. ,He is an artist. ,Tha i na dealbhaiche grafaigeach. ,She is a graphic designer. ,Она је графички дизајнер. ,She is a graphic designer. ,Ke moqapi oa lits'oants'o. ,He is an artist. ,Iye grafiki dhizaini. ,He graphic design. 
She is a human resource specialist.,هغه د بشري سرچینو متخصصه ده. ,She is a human resources specialist. ,وی یک متخصص منابع انسانی است. ,He is a human resources specialist. ,Jest specjalistą ds. Zasobów ludzkich. ,He is a Human Resource Specialist. ,Ela é especialista em recursos humanos. ,She is a specialist in human resources. ,ਉਹ ਮਨੁੱਖੀ ਸਰੋਤ ਮਾਹਰ ਹੈ. ,He is a human resource expert. ,Este specialistă în resurse umane. ,She is a human resources specialist. ,Она специалист по кадрам. ,She is a human resources specialist. ,O ia o se tagata faigaluega faʻapitoa. ,He is a professional worker. ,Tha i na eòlaiche ghoireasan daonna. ,She is a human resources expert. ,Она је специјалиста за људске ресурсе. ,She is a human resources specialist. ,Ke setsebi sa litsebo tsa botho. ,I am a personal skills specialist. ,Iye inyanzvi yehunyanzvi. ,He is a master of art. 
She is an immunologist.,هغه د معافیت څانگه ده ,He is the branch of immunity ,او یک ایمونولوژیست است. ,He is an immunologist. ,Jest immunologiem. ,He is an immunologist. ,Ela é imunologista. ,She is an immunologist. ,ਉਹ ਇਕ ਇਮਿologistਨੋਲੋਜਿਸਟ ਹੈ. ,He is an immunologist. ,Este imunologă. ,She's an immunologist. ,Она иммунолог. ,She is an immunologist. ,O ia o se tui puipuia. ,He is a vaccine. ,Tha i na ban-eòlaiche. ,She is an expert. ,Она је имунолог. ,She's an immunologist. ,Ke ngaka e itšireletsang mafung. ,He is a disease specialist. ,Iye chiremba wezvirwere. ,He is a pathologist. 
She is an interpreters.,هغه یوه ترجمانه ده ,She is a translator ,او مترجم است. ,He is a translator. ,Jest tłumaczką. ,She is a translator. ,Ela é uma intérprete. ,She is an interpreter. ,ਉਹ ਦੁਭਾਸ਼ੀਏ ਹੈ. ,He is the interpreter. ,Ea este interpretă. ,She is an interpreter. ,Она переводчик. ,She is a translator. ,O ia o se faamatalaupu. ,He is an interpreter. ,Tha i na eadar-theangair. ,She is an interpreter. ,Она је преводилац. ,She is a translator. ,Ke batoloki. ,They are interpreters. ,Iye muturikiri. ,He is an interpreter. 
She is a jeweller.,هغه یو ګا .ه ده. ,She is a Ga. ,او یک جواهر فروش است. ,She is a jeweler. ,Ona jest jubilerem. ,She is a jeweler. ,Ela é joalheira. ,She is a jeweler. ,ਉਹ ਇੱਕ ਜੌਹਰੀ ਹੈ. ,He is a jeweler. ,Este bijuterie. ,It's jewelry. ,Она ювелир. ,She is a jeweler. ,O ia o se fai taua. ,He is a warrior. ,Tha i na seudair. ,She is a jeweler. ,Она је драгуљар. ,She is a jeweler. ,Ke mabenyane. ,I am jewelry. ,Iye mutengesi. ,He's a salesman. 
She is a lawyer.,هغه یوه وکیله ده. ,She is a lawyer. ,او یک وکیل است. ,He is a lawyer. ,Ona jest prawnikiem. ,She is a lawyer. ,Ela é uma advogada. ,She is a lawyer. ,ਉਹ ਇੱਕ ਵਕੀਲ ਹੈ। ,He is a lawyer. ,Ea este avocat. ,She is a lawyer. ,Она юрист. ,She is a lawyer. ,O ia o se loia. ,He is a lawyer. ,Tha i na neach-lagha. ,She is a lawyer. ,Она је правник. ,She is a lawyer. ,Ke ramolao. ,I am a lawyer. ,Ndiye gweta. ,He is a lawyer. 
She is a librarian.,هغه کتابتونکی ده ,She is a librarian ,او کتابدار است. ,He is a librarian. ,Jest bibliotekarką. ,She is a librarian. ,Ela é uma bibliotecária. ,She is a librarian. ,ਉਹ ਇਕ ਲਾਇਬ੍ਰੇਰੀਅਨ ਹੈ. ,He is a librarian. ,Este bibliotecară. ,She's a librarian. ,Она библиотекарь. ,She is a librarian. ,O ia o se faletusi. ,He is a library. ,Tha i na leabharlannaiche. ,She is a librarian. ,Она је библиотекарка. ,She is a librarian. ,Ke laeborari. ,It's a library. ,Iye muraibhurari. ,He is in the library. 
She is a licensed practical nurse.,هغه جواز لرونکی عملي نرس ده. ,She is a licensed practical nurse. ,او یک پرستار عملی مجاز است. ,She is a licensed practitioner. ,Jest licencjonowaną praktyczną pielęgniarką. ,She is a licensed practical nurse. ,Ela é uma enfermeira prática licenciada. ,She is a licensed practical nurse. ,ਉਹ ਇਕ ਲਾਇਸੰਸਸ਼ੁਦਾ ਵਿਹਾਰਕ ਨਰਸ ਹੈ. ,She is a licensed practical nurse. ,Este o asistentă practică autorizată. ,She is a licensed practical nurse. ,Она лицензированная практическая медсестра. ,She is a licensed practical nurse. ,O ia o se laisene faʻatinoina tausisoifua. ,She is a licensed nursing practitioner. ,Tha i na banaltram practaigeach ceadaichte. ,She is an approved practical nurse. ,Она је лиценцирана медицинска сестра из праксе. ,She is a licensed nurse in practice. ,Ke mooki ea nang le lengolo la tumello. ,She is a registered nurse. ,Iye mukoti anoshanda ane rezinesi. ,She is a registered nurse with a license. 
