original,En2Finnish,Finnish2En,En2French,French2En,En2Frisian,Frisian2En,En2Galician,Galician2En,En2Georgian,Georgian2En,En2German,German2En,En2Greek,Greek2En,En2Gujarati,Gujarati2En,En2Haitian Creole,Haitian Creole2En,En2Hausa,Hausa2En,En2Hawaiian,Hawaiian2En,En2Hebrew,Hebrew2En
She is a biologist.,Hän on biologi. ,He is a biologist. ,Elle est biologiste. ,She's a biologist. ,Se is in biolooch. ,She's a biologist. ,É bióloga. ,She is a biologist. ,ის ბიოლოგია. ,He is a biologist. ,Sie ist Biologin. ,She is a biologist. ,Είναι βιολόγος. ,He is a biologist. ,તે એક જીવવિજ્ .ાની છે. ,He is a biologist. ,Li se yon byolojis. ,He is a biologist. ,Ita masaniyar halitta ce. ,She is a biologist. ,He meaolaola ʻo ia. ,He is an organism. ,היא ביולוגית. ,It is biological. 
She is a bookkeeper.,Hän on kirjanpitäjä. ,He is an accountant. ,Elle est comptable. ,She is an accountant. ,Se is in boekhâlder. ,She is an accountant. ,É contable. ,He is an accountant. ,იგი ბუღალტერია. ,He is an accountant. ,Sie ist Buchhalterin. ,She is an accountant. ,Είναι λογιστής. ,He is an accountant. ,તે એક બુકકીપર છે. ,He is a bookkeeper. ,Li se yon kontab. ,He is an accountant. ,Ita ce mai kula da littafi. ,She is the custodian of the book. ,He kahu puke ʻo ia. ,He is a librarian. ,היא מנהלת חשבונות. ,She is an accountant. 
She is a botanist.,Hän on kasvitieteilijä. ,He is a botanist. ,Elle est botaniste. ,She's a botanist. ,Se is botanikus. ,She's a botanist. ,É botánica. ,It is botanical. ,ის ბოტანიკოსია. ,He is a botanist. ,Sie ist Botanikerin. ,She is a botanist. ,Είναι βοτανολόγος. ,He is a botanist. ,તે વનસ્પતિશાસ્ત્રી છે. ,He is a botanist. ,Li se yon botanik. ,He is a botanist. ,Ita masanin ilimin tsirrai ne. ,She is a botanist. ,He botanist ʻo ia. ,He is a botanist. ,היא בוטנאינית. ,She's a botanist. 
She is a builder.,Hän on rakentaja. ,He is a builder. ,Elle est un constructeur. ,She is a builder. ,Se is in bouwer. ,She's a builder. ,Ela é unha construtora. ,She is a builder. ,ის არის მშენებელი. ,He is a builder. ,Sie ist eine Baumeisterin. ,She is a builder. ,Είναι οικοδόμος. ,He is a builder. ,તે એક બિલ્ડર છે. ,He is a builder. ,Li se yon mason. ,He is a builder. ,Ita mai gini ce. ,It is a building . ,He mea kūkulu hale ʻo ia. ,He was a builder. ,היא בונה. ,She's building. 
She is a businessperson.,Hän on liikemies. ,He is a businessman. ,C'est une femme d'affaires. ,She's a business woman. ,Se is in sakeman. ,She's a businessman. ,É empresaria. ,She is an entrepreneur. ,ის არის ბიზნესმენი. ,He is a businessman. ,Sie ist Geschäftsfrau. ,She is a businesswoman. ,Είναι επαγγελματίας. ,He is a professional. ,તે એક બિઝનેસમેન છે. ,He is a businessman. ,Li se yon businessperson. ,He is a businessperson. ,Ita yar kasuwa ce. ,She is a businesswoman. ,He ʻoihana ʻo ia. ,He is a professional. ,היא איש עסקים. ,She's a businessman. 
She is a butcher.,Hän on teurastaja. ,He is a butcher. ,Elle est boucherie. ,She is a butcher. ,Se is in slachter. ,She's a butcher. ,É carniceira. ,She is a butcher. ,ის ჯალათია. ,He is a butcher. ,Sie ist Metzgerin. ,She is a butcher. ,Είναι χασάπης. ,He is a butcher. ,તે કસાઈ છે. ,He is a butcher. ,Li se yon bouche. ,He is a butcher. ,Ita mahauta ce. ,She is a butcher. ,He kīʻaha wahine ʻo ia. ,She is a woman's cup. ,היא שוחטת. ,She's slaughtering. 
She is a carpenter.,Hän on puuseppä. ,He is a carpenter. ,Elle est charpentière. ,She is a carpenter. ,Se is timmerman. ,She's a carpenter. ,É carpinteira. ,She is a carpenter. ,იგი დურგალია. ,He is a carpenter. ,Sie ist Zimmermann. ,She is a carpenter. ,Είναι ξυλουργός. ,He is a carpenter. ,તે સુથાર છે. ,He is a carpenter. ,Li se yon bòs chapant. ,He is a carpenter. ,Ita kafinta ce. ,She is a carpenter. ,He kamana ʻo ia. ,He is a carpenter. ,היא נגרית. ,She's a carpenter. 
She is a cashier.,Hän on kassanhoitaja. ,She is a cashier. ,Elle est caissière. ,She's a cashier. ,Se is kassier. ,She's a cashier. ,É caixeira. ,She is a cashier. ,იგი მოლარეა. ,She is a cashier. ,Sie ist Kassiererin. ,She is a cashier. ,Είναι ταμίας. ,She is a treasurer. ,તે કેશિયર છે. ,He is the cashier. ,Li se yon kesye. ,He is a cashier. ,Ita mai karbar kudi ce. ,She is a cashier. ,He cashier ʻo ia. ,He is a cashier. ,היא קופאית. ,She's a cashier. 
She is a chef.,Hän on kokki. ,He is a cook. ,Elle est chef. ,She's a chef. ,Se is in chef. ,She's a chef. ,É cociñeira. ,She is a cook. ,იგი შეფ-მზარეულია. ,She is a chef. ,Sie ist eine Köchin. ,She is a cook. ,Είναι σεφ. ,He is a chef. ,તે એક રસોઇયા છે. ,She is a chef. ,Li se yon chef. ,He is a chef. ,Ita mai dafa abinci ce. ,She is a cook. ,He chef ʻo ia. ,He is a chef. ,היא שף. ,She's a chef. 
She is a chemist.,Hän on kemisti. ,He is a chemist. ,Elle est chimiste. ,She's a chemist. ,Se is gemikus. ,She's a musician. ,Ela é química. ,She is a chemist. ,ის არის ქიმიკოსი. ,He is a chemist. ,Sie ist Chemikerin. ,She is a chemist. ,Είναι χημική. ,It is chemical. ,તે રસાયણશાસ્ત્રી છે. ,He is a chemist. ,Li se yon famasi. ,It is a pharmacy. ,Ita mai ilmin hada magunguna ce. ,She is a chemist. ,He kemika ʻo ia. ,He is a chemical. ,היא כימיקאית. ,She's a chemist. 
She is a clergy advisor.,Hän on papiston neuvonantaja. ,He is a counselor to the clergy. ,Elle est conseillère du clergé. ,She is a counselor to the clergy. ,Se is geastlike adviseur. ,She is a spiritual advisor. ,É asesora do clero. ,She is an adviser to the clergy. ,ის არის სასულიერო პირების მრჩეველი. ,He is an advisor to the clergy. ,Sie ist Geistliche Beraterin. ,She is a spiritual advisor. ,Είναι σύμβουλος κληρικών. ,He is a clergy counselor. ,તે પાદરી સલાહકાર છે. ,He is a pastor counselor. ,Li se yon konseye klèje yo. ,He is a counselor to the clergy. ,Ita ce mai ba da shawara ga malamai. ,She is a mentor to teachers. ,He kākāʻōlelo kahuna pule ʻo ia. ,He was a pastor counselor. ,היא יועצת כמורה. ,She is a consultant as a teacher. 
She is a clinical lab technician.,Hän on kliininen laboratorioteknikko. ,He is a clinical laboratory technician. ,Elle est technicienne de laboratoire clinique. ,She is a clinical laboratory technician. ,Se is in klinysk labtechnikus. ,She is a clinical lab technician. ,É técnica de laboratorio clínico. ,It is a clinical laboratory technique. ,ის არის კლინიკური ლაბორატორიის ტექნიკოსი. ,He is a clinical laboratory technician. ,Sie ist klinische Labortechnikerin. ,She is a clinical laboratory technician. ,Είναι κλινική τεχνική εργαστηρίου. ,It is a clinical laboratory technique. ,તે ક્લિનિકલ લેબ ટેકનિશિયન છે. ,She is a clinical lab technician. ,Li se yon teknisyen laboratwa klinik. ,He is a clinical laboratory technician. ,Ita ma'aikaciyar asibiti ce. ,She is a hospital worker. ,He loea keʻena hoʻokolohua lapaʻau ʻo ia. ,He is a medical laboratory specialist. ,היא טכנאית מעבדה קלינית. ,She is a clinical lab technician. 
She is a coach.,Hän on valmentaja. ,He is a coach. ,Elle est coach. ,She is a coach. ,Se is in coach. ,She's a coach. ,É adestradora. ,She is a coach. ,ის არის მწვრთნელი. ,He is a coach. ,Sie ist eine Trainerin. ,She is a trainer. ,Είναι προπονητής. ,He is a coach. ,તે કોચ છે. ,He is a coach. ,Li se yon antrenè. ,He is a coach. ,Ita mai horarwa ce. ,She is a trainer. ,He kumu kaʻa ʻo ia. ,He was a car teacher. ,היא מאמנת. ,She is a coach. 
She is a developer.,Hän on kehittäjä. ,He is a developer. ,Elle est développeur. ,She is a developer. ,Se is in ûntwikkelder. ,She is a developer. ,É desenvolvedora. ,She is a developer. ,ის დეველოპერია. ,He is a developer. ,Sie ist Entwicklerin. ,She is a developer. ,Είναι προγραμματιστής. ,He is a programmer. ,તે ડેવલપર છે. ,He is a developer. ,Li se yon pwomotè. ,He is a developer. ,Ita mai tasowa ce. ,She is a rising star. ,He mea hoʻomohala ʻo ia. ,He is a developer. ,היא מפתחת. ,She is developing. 
She is a dietitian.,Hän on ravitsemusterapeutti. ,She is a nutritionist. ,Elle est diététiste. ,She is a dietitian. ,Se is in diëtist. ,She is a dietitian. ,É dietista. ,He is a dietitian. ,ის არის დიეტოლოგი. ,He is a nutritionist. ,Sie ist Ernährungsberaterin. ,She is a nutritionist. ,Είναι διαιτολόγος. ,He is a dietitian. ,તે ડાયેટિશિયન છે. ,She is a dietitian. ,Li se yon dyetetist. ,He is a dietitian. ,Ita masaniyar abinci ce. ,She is an expert in food. ,He meaʻaiʻai ʻo ia. ,He was a foodie. ,היא דיאטנית. ,She's a dietitian. 
She is an ecologist.,Hän on ekologi. ,He is an ecologist. ,Elle est écologiste. ,She is an environmentalist. ,Se is in ekolooch. ,She's an ecologist. ,É ecoloxista. ,He is an ecologist. ,ის არის ეკოლოგი. ,He is an ecologist. ,Sie ist Ökologin. ,She is an ecologist. ,Είναι οικολόγος. ,He is an ecologist. ,તે ઇકોલોજીસ્ટ છે. ,She is an ecologist. ,Li se yon ekolojis. ,He is an ecologist. ,Ita masanin kimiyyar halittu ne. ,She is a biologist. ,He kaiaolaola ʻo ia. ,He is an ecosystem. ,היא אקולוגית. ,It is ecological. 
She is an editor.,Hän on toimittaja. ,He is a journalist. ,Elle est rédactrice. ,She is a writer. ,Se is redakteur. ,She's an editor. ,É editora. ,She is a publisher. ,იგი არის რედაქტორი. ,He is the editor. ,Sie ist Redakteurin. ,She is an editor. ,Είναι συντάκτης. ,He is an author. ,તે એક સંપાદક છે. ,He is an editor. ,Li se yon editè. ,He is an editor. ,Ita edita ce. ,She is the editor said . ,He hoʻoponopono ʻo ia. ,He is an editor. ,היא עורכת. ,She's an editor. 
She is an electrician.,Hän on sähköasentaja. ,He is an electrician. ,Elle est électricienne. ,She is an electrician. ,Se is elektricien. ,She's an electrician. ,Ela é electricista. ,She is an electrician. ,ის არის ელექტრიკოსი. ,He is an electrician. ,Sie ist Elektrikerin. ,She is an electrician. ,Είναι ηλεκτρολόγος. ,He is an electrician. ,તે ઇલેક્ટ્રિશિયન છે. ,He is an electrician. ,Li se yon elektrisyen. ,He is an electrician. ,Ita ma'aikaciyar lantarki ce. ,She is an electrician. ,He uila ia. ,It is lightning. ,היא חשמלאית. ,She's an electrician. 
She is an EMT specialist.,Hän on EMT-asiantuntija. ,He is an EMT expert. ,Elle est spécialiste EMT. ,She is an EMT specialist. ,Se is in EMT-spesjalist. ,She is an EMT specialist. ,É especialista en EMT. ,He specializes in EMT. ,ის არის EMT სპეციალისტი. ,He is an EMT specialist. ,Sie ist eine EMT-Spezialistin. ,She is an EMT specialist. ,Είναι ειδική στο EMT. ,She is an EMT specialist. ,તે ઇએમટી નિષ્ણાત છે. ,He is an EMT specialist. ,Li se yon espesyalis EMT. ,He is an EMT specialist. ,Ita kwararriyar EMT ce. ,She is a professional EMT. ,He loea EMT ʻo ia. ,He is an EMT specialist. ,היא מומחית ב- EMT. ,She is an EMT expert. 
She is a farmer.,Hän on maanviljelijä. ,He is a farmer. ,Elle est agricultrice. ,She is a farmer. ,Se is boer. ,She's a farmer. ,É labrega. ,She is a farmer. ,იგი ფერმერია. ,He is a farmer. ,Sie ist ein Landwirt. ,She is a farmer. ,Είναι αγρότης. ,He is a farmer. ,તે ખેડૂત છે. ,He is a farmer. ,Li se yon kiltivatè. ,He is a farmer. ,Ita manomi ce. ,She is a farmer. ,He mahiʻai ʻo ia. ,He was a farmer. ,היא חקלאית. ,She is a farmer. 
She is a filmmaker.,Hän on elokuvantekijä. ,He is a filmmaker. ,Elle est cinéaste. ,She is a filmmaker. ,Se is in filmmakker. ,She is a filmmaker. ,É cineasta. ,He is a filmmaker. ,ის არის კინორეჟისორი. ,He is a film director. ,Sie ist Filmemacherin. ,She is a filmmaker. ,Είναι σκηνοθέτης. ,He is a director. ,તે એક ફિલ્મ નિર્માતા છે. ,He is a filmmaker. ,Li se yon sineast. ,He is a filmmaker. ,Ita yar fim ce. ,She is a movie star. ,He mea paʻi kiʻi ʻo ia. ,He is a photographer. ,היא קולנוענית. ,She is a filmmaker. 
She is a firefighter.,Hän on palomies. ,He's a firefighter. ,Elle est pompier. ,She is a firefighter. ,Se is brânwachtman. ,She's a firefighter. ,É unha bombeira. ,She's a firefighter. ,ის მეხანძრეა. ,He is a firefighter. ,Sie ist eine Feuerwehrfrau. ,She is a firefighter. ,Είναι πυροσβέστης. ,He is a firefighter. ,તે અગ્નિશામક છે. ,It is a fire extinguisher. ,Li se yon ponpye. ,He is a firefighter. ,Ita ma'aikaciyar kashe gobara ce. ,She is a firefighter. ,He kinai ahi ʻo ia. ,He is a firefighter. ,היא כבאי. ,She's a firefighter. 
She is a fisherman.,Hän on kalastaja. ,He is a fisherman. ,C'est une pêcheuse. ,She is a fisherwoman. ,Se is in fisker. ,She's a fisherman. ,É pescadora. ,She is a fisherwoman. ,ის მეთევზეა. ,He is a fisherman. ,Sie ist Fischerin. ,She is a fisherwoman. ,Είναι ψαρά. ,They are fishermen. ,તે માછીમાર છે. ,He is a fisherman. ,Li se yon pechè. ,He is a fisherman. ,Ita masunta ce. ,She is a fisherman. ,He lawaiʻa ʻo ia. ,He was a fisherman. ,היא דייגת. ,She's a fisherman. 
She is a flight attendant.,Hän on lentoemäntä. ,She's a flight attendant. ,Elle est hôtesse de l'air. ,She is a flight attendant. ,Se is in stewardess. ,She's a stewardess. ,É auxiliar de voo. ,He is a flight attendant. ,ის არის ბორტგამცილებელი. ,He is a flight attendant. ,Sie ist eine Flugbegleiterin. ,She is a flight attendant. ,Ειναι αεροσυνοδος. ,He is a flight attendant. ,તે ફ્લાઇટ એટેન્ડન્ટ છે. ,She is a flight attendant. ,Li se yon asistan vòl. ,He is a flight attendant. ,Ita ma'aikaciyar jirgin sama ce. ,She is a flight attendant. ,He kahu lele ʻo ia. ,He was a flying pilot. ,היא דיילת. ,She's a flight attendant. 
She is a geneticist.,Hän on geenitieteilijä. ,He is a geneticist. ,Elle est généticienne. ,She's a geneticist. ,Se is in genetikus. ,She's a geneticist. ,É xenetista. ,He is a geneticist. ,ის არის გენეტიკოსი. ,He is a geneticist. ,Sie ist Genetikerin. ,She is a geneticist. ,Είναι γενετιστής. ,He is a geneticist. ,તે જિનેટિક્સિસ્ટ છે. ,She is a geneticist. ,Li se yon jenetisyen. ,He is a geneticist. ,Ita masaniyar kwayar halitta ce. ,She is a biologist. ,He genistist ʻo ia. ,He is a genist. ,היא גנטיקאית. ,She's a geneticist. 
She is a geologist.,Hän on geologi. ,He is a geologist. ,Elle est géologue. ,She's a geologist. ,Se is geolooch. ,She's a geologist. ,É xeóloga. ,She is a geologist. ,ის გეოლოგია. ,He is a geologist. ,Sie ist Geologin. ,She is a geologist. ,Είναι γεωλόγος. ,He is a geologist. ,તે ભૂસ્તરશાસ્ત્રી છે. ,He is a geologist. ,Li se yon jewolojis. ,He is a geologist. ,Ita masanin kimiyyar kasa ne. ,She is a geologist. ,He hulihonua ʻo ia. ,He is a geologist. ,היא גיאולוגית. ,It is geological. 
She is a graphic designer.,Hän on graafinen suunnittelija. ,He is a graphic designer. ,Elle est graphiste. ,She is a graphic designer. ,Se is in grafysk ûntwerper. ,She is a graphic designer. ,É deseñadora gráfica. ,She is a graphic designer. ,იგი გრაფიკული დიზაინერია. ,She is a graphic designer. ,Sie ist Grafikdesignerin. ,She is a graphic designer. ,Είναι γραφίστρια. ,She is a graphic designer. ,તે ગ્રાફિક ડિઝાઇનર છે. ,She is a graphic designer. ,Li se yon designer grafik. ,He is a graphic designer. ,Ita mai zane ce. ,Her jersey . ,He mea hoʻolālā kiʻi ʻo ia. ,He is a graphic designer. ,היא מעצבת גרפית. ,She is a graphic designer. 
She is a human resource specialist.,Hän on henkilöstöasiantuntija. ,He is a human resources expert. ,Elle est spécialiste des ressources humaines. ,She is a human resources specialist. ,Se is in spesjalist foar minsklike boarnen. ,She is a specialist in human resources. ,É especialista en recursos humanos. ,He specializes in human resources. ,ის არის ადამიანური რესურსების სპეციალისტი. ,He is a human resources specialist. ,Sie ist Personalfachfrau. ,She is a human resources specialist. ,Είναι ειδική σε ανθρώπινους πόρους. ,It is specialized in human resources. ,તે માનવ સંસાધન નિષ્ણાત છે. ,He is a human resource expert. ,Li se yon espesyalis resous imen. ,He is a human resources specialist. ,Ita kwararriyar ma’aikata ce. ,She is a professional worker. ,He loea kumuwaiwai ʻo ia. ,He is a resource engineer. ,היא מומחית בתחום משאבי אנוש. ,She is an expert in the field of human resources. 
She is an immunologist.,Hän on immunologi. ,He is an immunologist. ,Elle est immunologiste. ,She's an immunologist. ,Se is in immunolooch. ,She's an immunologist. ,É inmunóloga. ,She is an immunologist. ,ის იმუნოლოგია. ,He's immunology. ,Sie ist Immunologin. ,She is an immunologist. ,Είναι ανοσολόγος. ,He is an immunologist. ,તે એક ઇમ્યુનોલોજિસ્ટ છે. ,She is an immunologist. ,Li se yon iminològ. ,He is an immunologist. ,Ita masaniyar rigakafi ce. ,She is an immunologist. ,He maʻi pale maʻi ʻo ia. ,It is an immune system. ,היא אימונולוגית. ,She's immunological. 
She is an interpreters.,Hän on tulkkia. ,He is an interpreter. ,Elle est interprète. ,She is an interpreter. ,Se is in tolken. ,She's an interpreter. ,É intérprete. ,He is an interpreter. ,იგი თარჯიმანია. ,She is a translator. ,Sie ist Dolmetscherin. ,She is an interpreter. ,Είναι διερμηνέας. ,He is an interpreter. ,તે દુભાષિયા છે. ,She is an interpreter. ,Li se yon entèprèt. ,He is an interpreter. ,Ita mai fassara ce. ,She is a translator. ,He unuhi'ōlelo ʻo ia. ,He is a translator. ,היא מתורגמנית. ,She is an interpreter. 
She is a jeweller.,Hän on kultaseppä. ,He is a jeweler. ,Elle est bijoutière. ,She is a jeweler. ,Se is in juwelier. ,She's a jeweler. ,É xoieira. ,She is a jeweler. ,იგი არის იუველირი. ,She is a jeweler. ,Sie ist Juwelierin. ,She is a jeweler. ,Είναι κοσμηματοπωλείο. ,It is a jewelry store. ,તે એક ઝવેરી છે. ,She is a jeweler. ,Li se yon bijou. ,It is a jewel. ,Ita ce mai yin kayan ado. ,She is a jeweler. ,He mea hoʻohiwahiwa ʻo ia. ,He was an entertainer. ,היא תכשיטנית. ,She's a jeweler. 
She is a lawyer.,Hän on lakimies. ,He is a lawyer. ,Elle est avocate. ,She is a lawyer. ,Se is in advokaat. ,She's a lawyer. ,É avogada. ,She is a lawyer. ,ის არის იურისტი. ,He is a lawyer. ,Sie ist Anwältin. ,She is a lawyer. ,Αυτή είναι δικηγόρος. ,She is a lawyer. ,તે એક વકીલ છે. ,He is a lawyer. ,Li se yon avoka. ,He is a lawyer. ,Lauya ce. ,She is a lawyer. ,He loio ʻo ia. ,He is a lawyer. ,היא עורכת דין. ,She's a lawyer. 
She is a librarian.,Hän on kirjastonhoitaja. ,She is a librarian. ,Elle est bibliothécaire. ,She's a librarian. ,Se is in bibletekaris. ,She is a librarian. ,É bibliotecaria. ,She is a librarian. ,ის არის ბიბლიოთეკარი. ,He is a librarian. ,Sie ist Bibliothekarin. ,She is a librarian. ,Είναι βιβλιοθηκάριος. ,He is a librarian. ,તે એક ગ્રંથપાલ છે. ,He is a librarian. ,Li se yon bibliyotekè. ,He is a librarian. ,Ita ma'aikaciya ce. ,She is a worker. ,He kahu puke ʻo ia. ,He is a librarian. ,היא ספרנית. ,She's a librarian. 
She is a licensed practical nurse.,Hän on lisensoitu käytännön sairaanhoitaja. ,She is a licensed practical nurse. ,Elle est infirmière auxiliaire autorisée. ,She is a licensed practical nurse. ,Se is in fergunning praktyske ferpleechkundige. ,She is a licensed practical nurse. ,É enfermeira práctica con licenza. ,She is a licensed practical nurse. ,ის არის ლიცენზირებული პრაქტიკული მედდა. ,She is a licensed practical nurse. ,Sie ist eine lizenzierte praktische Krankenschwester. ,She is a licensed practical nurse. ,Είναι άδεια πρακτικής νοσοκόμας. ,It is a license of a nurse practitioner. ,તે લાઇસન્સવાળી પ્રેક્ટિકલ નર્સ છે. ,She is a licensed practical nurse. ,Li se yon enfimyè ki gen lisans pratik. ,She is a licensed practice nurse. ,Ita ma'aikaciyar likita ce mai aiki. ,She is an active medical worker. ,He kahu maʻi laikini ʻo ia. ,He is a licensed nurse. ,היא אחות מעשית מורשית. ,She is a licensed practical nurse. 
She is a mechanic.,Hän on mekaanikko. ,He's a mechanic. ,Elle est mécanicienne. ,She's a mechanic. ,Se is monteur. ,She's a mechanic. ,É mecánica. ,It's mechanical. ,ის არის მექანიკოსი. ,He is a mechanic. ,Sie ist Mechanikerin. ,She is a mechanic. ,Είναι μηχανικός. ,He is an engineer. ,તે મિકેનિક છે. ,He is a mechanic. ,Li se yon mekanisyen. ,He is a mechanic. ,Ita makaniki ce. ,She is a mechanic . ,He mīkini ʻo ia. ,He is a machine. ,היא מכונאית. ,She's a mechanic. 
