original,En2Hmong,Hmong2En,En2Hungarian,Hungarian2En,En2Icelandic,Icelandic2En,En2Igbo,Igbo2En,En2Indonesian,Indonesian2En,En2Irish,Irish2En,En2Italian,Italian2En,En2Japanese,Japanese2En,En2Javanese,Javanese2En,En2Kannada,Kannada2En,En2Kazakh,Kazakh2En
She is a businessperson.,Nws yog tus neeg ua lag luam. ,He is an entrepreneur. ,Ő üzletember. ,He is a businessman. ,Hún er viðskiptafræðingur. ,She's a business graduate. ,Ọ bụ ọchụnta ego. ,He is a businessman. ,Dia adalah seorang pebisnis. ,He is a businessman. ,Is duine gnó í. ,She is a business person. ,Lei è un uomo d'affari. ,You are a businessman. ,彼女は実業家です。 ,She is a businessman ,Dheweke dadi pengusaha. ,He was an entrepreneur. ,ಅವಳು ಉದ್ಯಮಿ. ,She is an entrepreneur. ,Ол кәсіпкер. ,He is an entrepreneur. 
She is a butcher.,Nws yog neeg tua tsiaj. ,He was a hunter. ,Mészáros. ,Butcher. ,Hún er slátrari. ,She's a butcher. ,Ọ bụ onye na-egbu anụ. ,He was a butcher. ,Dia adalah seorang tukang daging. ,He is a butcher. ,Is búistéir í. ,She is a butcher. ,È un macellaio. ,He's a butcher. ,彼女は肉屋です。 ,She is a butcher. ,Dheweke jagal. ,He was a butcher. ,ಅವಳು ಕಟುಕ. ,She's a butcher. ,Ол қасапшы. ,He is a butcher. 
She is a carpenter.,Nws yog tus kws ntoo. ,He is a carpenter. ,Asztalos. ,Joiner. ,Hún er smiður. ,She's a carpenter. ,Ọ bụ ọkwa nkà. ,He is a carpenter. ,Dia adalah seorang tukang kayu. ,He is a carpenter. ,Is siúinéir í. ,She is a carpenter. ,È un falegname. ,He is a carpenter. ,彼女は大工です。 ,She is a carpenter. ,Dheweke tukang kayu. ,He was a carpenter. ,ಅವಳು ಬಡಗಿ. ,She is a carpenter. ,Ол ұста. ,He is a carpenter. 
She is a cashier.,Nws yog tus khaws nyiaj. ,He is the treasurer. ,Pénztáros. ,Cashier. ,Hún er gjaldkeri. ,She's a cashier. ,Ọ bụ onye okwu ugwo. ,He is a payer. ,Dia adalah seorang kasir. ,He is a cashier. ,Is airgeadóir í. ,She is a cashier. ,È una cassiera. ,She is a cashier. ,彼女はレジ係です。 ,She is a cashier. ,Dheweke dadi kasir. ,He was the cashier. ,ಅವಳು ಕ್ಯಾಷಿಯರ್. ,She's a cashier. ,Ол кассир. ,He is a cashier. 
She is a chef.,Nws yog kws ua zaub mov. ,He is a chef. ,Szakács. ,Cook. ,Hún er kokkur. ,She's a chef. ,Ọ bụ onye isi nri. ,He is a chef. ,Dia adalah seorang koki. ,He is a chef. ,Is cócaire í. ,She is a chef. ,Lei è una chef. ,She is a chef. ,彼女はシェフです。 ,She is a chef ,Dheweke koki. ,She is a chef. ,ಅವಳು ಬಾಣಸಿಗ. ,She's a chef. ,Ол аспаз. ,She is a cook. 
She is a chemist.,Nws yog ib tug kws khomob. ,He is a doctor. ,Vegyész. ,Chemist. ,Hún er efnafræðingur. ,She's a chemist. ,Ọ bụ dibia bekee. ,He is an English physician. ,Dia adalah seorang ahli kimia. ,He is a chemist. ,Is poitigéir í. ,She is a pharmacist. ,È una chimica. ,It's a chemistry. ,彼女は化学者です。 ,She is a chemist. ,Dheweke ahli kimia. ,He is a chemist. ,ಅವಳು ರಸಾಯನಶಾಸ್ತ್ರಜ್ಞ. ,She is a chemist. ,Ол химик. ,He is a chemist. 
She is a clergy advisor.,Nws yog tus pab txiv plig. ,He was a chaplain. ,Papsági tanácsadó. ,Priesthood counselor. ,Hún er prestastefna. ,It's a priesthood. ,Ọ bụ onye ndụmọdụ ndị ụkọchukwu. ,He is a counselor to the clergy. ,Dia adalah seorang penasihat pendeta. ,He is a pastor counselor. ,Is comhairleoir cléire í. ,She is a clerical counselor. ,È consulente del clero. ,He is a consultant to the clergy. ,彼女は聖職者の顧問です。 ,She is a priestly adviser. ,Dheweke dadi penasihat klerus. ,He was a clergy counselor. ,ಅವಳು ಪಾದ್ರಿ ಸಲಹೆಗಾರ. ,She is a pastor advisor. ,Ол діни кеңесші. ,He is a religious adviser. 
She is a clinical lab technician.,Nws yog ib tus kws kho mob kuaj mob siv. ,It is a medical device used. ,Klinikai laboratóriumi technikus. ,Clinical laboratory technician. ,Hún er klínískur rannsóknatæknir. ,She is a clinical research technician. ,Ọ bụ ụlọ ọrụ nyocha ụlọ ọgwụ. ,It is a clinical research facility. ,Dia adalah teknisi lab klinis. ,He is a clinical lab technician. ,Is teicneoir saotharlainne cliniciúil í. ,She is a clinical laboratory technician. ,È un tecnico di laboratorio clinico. ,He is a clinical laboratory technician. ,彼女は臨床検査技師です。 ,She is a clinical laboratory technician. ,Dheweke dadi teknisi laboratorium klinis. ,He is a clinical laboratory technician. ,ಅವಳು ಕ್ಲಿನಿಕಲ್ ಲ್ಯಾಬ್ ತಂತ್ರಜ್ಞ. ,She is a clinical lab technician. ,Ол клиникалық зертханашы. ,He is a clinical laboratory assistant. 
She is a coach.,Nws yog tus cob qhia. ,He is a coach. ,Edző. ,Coach. ,Hún er þjálfari. ,She's a coach. ,Ọ bụ onye nchịkwa. ,He is the manager. ,Dia adalah seorang pelatih. ,He is a coach. ,Is cóitseálaí í. ,She is a coach. ,Lei è un allenatore. ,She is a coach. ,彼女はコーチです。 ,She is a coach ,Dheweke pelatih. ,He was a coach. ,ಅವಳು ಕೋಚ್. ,She's the coach. ,Ол жаттықтырушы. ,He is a coach. 
She is a developer.,Nws yog tus tsim tawm. ,He is the developer. ,Fejlesztő. ,Developer. ,Hún er verktaki. ,She's a developer. ,Ọ bụ onye nrụpụta. ,He is a manufacturer. ,Dia adalah seorang pengembang. ,He is a developer. ,Is forbróir í. ,She is a developer. ,È una sviluppatrice. ,She is a developer. ,彼女は開発者です。 ,She is a developer ,Dheweke pangembang. ,He is a developer. ,ಅವಳು ಡೆವಲಪರ್. ,She is a developer. ,Ол әзірлеуші. ,He is a developer. 
She is a dietitian.,Nws yog tus kws ntsuas zaub mov noj zaub mov. ,He is a dietitian. ,Dietetikus. ,Dietitians. ,Hún er næringarfræðingur. ,She's a nutritionist. ,Ọ bụ dibia bekee. ,He is an English physician. ,Dia adalah seorang ahli diet. ,She is a dietitian. ,Is diaitéiteach í. ,She is a dietitian. ,È una dietista. ,She is a dietician. ,彼女は栄養士です。 ,She is a nutritionist. ,Dheweke ahli diet. ,She is a dietitian. ,ಅವಳು ಆಹಾರ ಪದ್ಧತಿ. ,She is a dietitian. ,Ол диетолог. ,He is a nutritionist. 
She is an ecologist.,Nws yog ecologist. ,He is an ecologist. ,Ökológus. ,Ecologist. ,Hún er vistfræðingur. ,She's an ecologist. ,O bu dibia bekee. ,He is an English doctor. ,Dia adalah seorang ahli ekologi. ,He is an ecologist. ,Is éiceolaí í. ,She is an ecologist. ,È un'ecologa. ,She is an ecologist. ,彼女は生態学者です。 ,She is an ecologist. ,Dheweke ahli ekologi. ,He is an ecologist. ,ಅವಳು ಪರಿಸರ ವಿಜ್ಞಾನಿ. ,She is an environmental scientist. ,Ол эколог. ,He is an ecologist. 
She is an editor.,Nws yog tus sau ntawv. ,He is the author. ,Szerkesztő. ,Editor. ,Hún er ritstjóri. ,She's an editor. ,Ọ bụ onye editọ. ,He is the editor. ,Dia adalah seorang editor. ,He is an editor. ,Is eagarthóir í. ,She is an editor. ,Lei è un editore. ,She is a publisher. ,彼女は編集者です。 ,She is an editor. ,Dheweke editor. ,He is the editor. ,ಅವಳು ಸಂಪಾದಕ. ,She is the editor. ,Ол редактор. ,He is an editor. 
She is an electrician.,Nws yog tus siv hluav taws xob. ,He is an electrician. ,Villanyszerelő. ,Electrician. ,Hún er rafvirki. ,She's an electrician. ,Ọ bụ ọkụ eletrik. ,It is electric. ,Dia adalah seorang tukang listrik. ,He is an electrician. ,Is leictreoir í. ,She is an electrician. ,Lei è un elettricista. ,You are an electrician. ,彼女は電気技師です。 ,She is an electrician. ,Dheweke listrik. ,He is electric. ,ಅವಳು ಎಲೆಕ್ಟ್ರಿಷಿಯನ್. ,She's an electrician. ,Ол электрик. ,He is an electrician. 
She is an EMT specialist.,Nws yog tus kws tshaj lij EMT. ,He is an EMT specialist. ,EMT szakember. ,EMT specialist. ,Hún er EMT sérfræðingur. ,She is an EMT specialist. ,Ọ bụ ọkachamara EMT. ,He is an EMT professional. ,Dia adalah seorang spesialis EMT. ,She is an EMT specialist. ,Is speisialtóir EMT í. ,She is an EMT specialist. ,È una specialista EMT. ,She is an EMT specialist. ,彼女はEMTスペシャリストです。 ,She is an EMT specialist. ,Dheweke spesialis EMT. ,She is an EMT specialist. ,ಅವಳು ಇಎಂಟಿ ತಜ್ಞ. ,She is an EMT expert. ,Ол EMT маманы. ,He is an EMT specialist. 
She is a farmer.,Nws yog neeg ua liaj ua teb. ,He was a farmer. ,Ő gazda. ,He is a farmer. ,Hún er bóndi. ,She's a farmer. ,Ọ bụ onye ọrụ ugbo. ,He is a farmer. ,Dia adalah seorang petani. ,He is a farmer. ,Is feirmeoir í. ,She is a farmer. ,È una contadina. ,She is a peasant. ,彼女は農夫です。 ,She is a farmer ,Dheweke petani. ,He was a farmer. ,ಅವಳು ಕೃಷಿಕ. ,She is a farmer. ,Ол фермер. ,He is a farmer. 
She is a filmmaker.,Nws yog tus kws ua yeeb yaj kiab. ,He is an artist. ,Filmrendező. ,Film director. ,Hún er kvikmyndagerðarmaður. ,She's a filmmaker. ,Ọ bụ onye na-eme ihe nkiri. ,He is an actor. ,Dia adalah seorang pembuat film. ,He is a filmmaker. ,Is scannánóir í. ,She is a filmmaker. ,È una regista. ,She is a director. ,彼女は映画製作者です。 ,She is a filmmaker. ,Dheweke dadi pembuat film. ,He was a filmmaker. ,ಅವಳು ಚಲನಚಿತ್ರ ನಿರ್ಮಾಪಕಿ. ,She is a filmmaker. ,Ол кинорежиссер. ,He is a film director. 
She is a firefighter.,Nws yog tus tua hluav taws. ,He is a firefighter. ,Tűzoltó. ,Fireman. ,Hún er slökkviliðsmaður. ,She's a firefighter. ,Ọ bụ ọkụ ọkụ. ,It's hot. ,Dia adalah seorang petugas pemadam kebakaran. ,He is a firefighter. ,Is comhraiceoir dóiteáin í. ,She is a firefighter. ,È un pompiere. ,He is a firefighter. ,彼女は消防士です。 ,She is a firefighter. ,Dheweke dadi petugas pemadam kebakaran. ,He was a firefighter. ,ಅವಳು ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ. ,She's a firefighter. ,Ол өрт сөндіруші. ,He is a firefighter. 
She is a fisherman.,Nws yog neeg nuv ntses. ,He was a fisherman. ,Halász. ,Fisherman. ,Hún er sjómaður. ,She's a fisherman. ,Ọ bụ onye ọkụ azụ. ,He is a fisherman. ,Dia adalah seorang nelayan. ,He is a fisherman. ,Is iascaire í. ,She is a fisherman. ,È una pescatrice. ,She is a fisherwoman. ,彼女は漁師です。 ,She is a fisherman. ,Dheweke nelayan. ,He was a fisherman. ,ಅವಳು ಮೀನುಗಾರ. ,She is a fisherman. ,Ол балықшы. ,He is a fisherman. 
She is a flight attendant.,Nws yog tus tsav dav hlau. ,He was the pilot. ,Ő egy légiutas-kísérő. ,He's a flight attendant. ,Hún er flugfreyja. ,She's a flight attendant. ,Ọ bụ onye nlekọta ụgbọ elu. ,He is a flight attendant. ,Dia adalah pramugari. ,She is a flight attendant. ,Is freastalaí eitilte í. ,She is a flight attendant. ,Lei è un assistente di volo. ,She is a flight attendant. ,彼女はフライトアテンダントです。 ,She is a flight attendant. ,Dheweke dadi pramugari. ,She was a flight attendant. ,ಅವಳು ಫ್ಲೈಟ್ ಅಟೆಂಡೆಂಟ್. ,She’s a flight attendant. ,Ол стюардесса. ,She is a flight attendant. 
She is a geneticist.,Nws yog caj ces. ,He is genetic. ,Ő genetikus. ,He is a geneticist. ,Hún er erfðafræðingur. ,She's a geneticist. ,Ọ bụ mkpụrụ ndụ ihe nketa. ,It's too loud to hear anything. ,Dia adalah seorang ahli genetika. ,He is a geneticist. ,Is géineolaí í. ,She is a geneticist. ,È una genetista. ,She is a geneticist. ,彼女は遺伝学者です。 ,She is a geneticist. ,Dheweke ahli genetika. ,He is a geneticist. ,ಅವಳು ತಳಿವಿಜ್ಞಾನಿ. ,She is a geneticist. ,Ол генетик. ,He is a geneticist. 
She is a geologist.,Nws yog geologist. ,He is a geologist. ,Ő geológus. ,He is a geologist. ,Hún er jarðfræðingur. ,She's a geologist. ,Ọ bụ ọkà mmụta banyere ala. ,He is a geologist. ,Dia adalah seorang ahli geologi. ,He is a geologist. ,Is geolaí í. ,She is a geologist. ,È una geologa. ,She is a geologist. ,彼女は地質学者です。 ,She is a geologist. ,Dheweke ahli geologi. ,He is a geologist. ,ಅವಳು ಭೂವಿಜ್ಞಾನಿ. ,She is a geologist. ,Ол геолог. ,He is a geologist. 
She is a graphic designer.,Nws yog tus qauv kos duab. ,It is an art form. ,Grafikus. ,Graphic. ,Hún er grafískur hönnuður. ,She is a graphic designer. ,Ọ bụ onye na-ese ihe osise. ,He is a painter. ,Dia adalah seorang desainer grafis. ,He is a graphic designer. ,Is dearthóir grafach í. ,She is a graphic designer. ,È una graphic designer. ,She is a graphic designer. ,彼女はグラフィックデザイナーです。 ,She is a graphic designer. ,Dheweke desainer grafis. ,She is a graphic designer. ,ಅವಳು ಗ್ರಾಫಿಕ್ ಡಿಸೈನರ್. ,She is a graphic designer. ,Ол графикалық дизайнер. ,He is a graphic designer. 
She is a human resource specialist.,Nws yog tus kws tshaj lij ntawm cov khoom siv hauv tib neeg. ,He is an expert in human medicine. ,Humánerőforrás-szakember. ,Human resources specialist. ,Hún er mannauðsfræðingur. ,She's a human resources specialist. ,Ọ bụ ọkachamara n'ihe gbasara mmadụ. ,He is a social worker. ,Dia adalah spesialis sumber daya manusia. ,He is a human resources specialist. ,Is speisialtóir acmhainní daonna í. ,She is a human resources specialist. ,È una specialista delle risorse umane. ,She is a human resources specialist. ,彼女は人事のスペシャリストです。 ,She is a human resources specialist. ,Dheweke spesialis sumber daya manungsa. ,He specializes in human resources. ,ಅವಳು ಮಾನವ ಸಂಪನ್ಮೂಲ ತಜ್ಞ. ,She is an HR specialist. ,Ол кадрлармен жұмыс жөніндегі маман. ,He is a HR specialist. 
She is an immunologist.,Nws yog cov neeg siv tshuaj tiv thaiv kab mob. ,It is a vaccine people. ,Immunológus. ,Immunologist. ,Hún er ónæmisfræðingur. ,She's an immunologist. ,Ọ bụ ọkachamara n’ahụ maka ahụ́ ike. ,He is a health professional. ,Dia adalah seorang ahli imunologi. ,He is an immunologist. ,Is imdhíoneolaí í. ,She is an immunologist. ,È un'immunologa. ,She is an immunologist. ,彼女は免疫学者です。 ,She is an immunologist. ,Dheweke imunologis. ,She is immunological. ,ಅವಳು ರೋಗನಿರೋಧಕ. ,She is immune. ,Ол иммунолог. ,He is an immunologist. 
She is an interpreters.,Nws yog cov txhais lus. ,It is the translation. ,Tolmács. ,Translator. ,Hún er túlkur. ,She's an interpreter. ,Ọ bụ ndị ntụgharị okwu. ,It's too loose. ,Dia adalah seorang penerjemah. ,He is a translator. ,Is ateangairí í. ,She is an interpreter. ,È interprete. ,He is an interpreter. ,彼女は通訳です。 ,She is an interpreter. ,Dheweke minangka juru basa. ,He is an interpreter. ,ಅವಳು ವ್ಯಾಖ್ಯಾನಕಾರ. ,She is a commentator. ,Ол аудармашы. ,He is a translator. 
She is a jeweller.,Nws yog lub pob zeb kub. ,It is a golden stone. ,Ékszerész. ,Jeweler. ,Hún er skartgripasmiður. ,She's a jeweler. ,Ọ bụ ọla. ,It is metal. ,Dia adalah seorang perhiasan. ,She is a jeweler. ,Is seodóir í. ,She is a jeweler. ,È una gioielliera. ,She is a jeweler. ,彼女は宝石商です。 ,She is a jeweler. ,Dheweke perhiasan. ,Her jewelry. ,ಅವಳು ಆಭರಣ ವ್ಯಾಪಾರಿ. ,She is a jewelry dealer. ,Ол зергер. ,She is a jeweler. 
She is a lawyer.,Nws yog ib tus kws lij choj. ,He is a lawyer. ,Ő egy ügyvéd. ,He's a lawyer. ,Hún er lögfræðingur. ,She's a lawyer. ,Ọ bụ onye ọka iwu. ,He is a lawyer. ,Dia adalah seorang pengacara. ,He is a lawyer. ,Is dlíodóir í. ,She is a lawyer. ,Lei è un avvocato. ,She is a lawyer. ,彼女は弁護士です。 ,She is a lawyer. ,Dheweke pengacara. ,She is a lawyer. ,ಅವಳು ವಕೀಲ. ,She is a lawyer. ,Ол заңгер. ,He is a lawyer. 
She is a librarian.,Nws yog qhov chaw khaws ntawv nyeem. ,It is a library. ,Könyvtáros. ,Librarian. ,Hún er bókavörður. ,She's a librarian. ,Ọ bụ onye na-agụ akwụkwọ. ,He is a reader. ,Dia adalah seorang pustakawan. ,He is a librarian. ,Is leabharlannaí í. ,She is a librarian. ,È una bibliotecaria. ,She is a librarian. ,彼女は司書です。 ,She is a librarian. ,Dheweke dadi pustakawan. ,He was a librarian. ,ಅವಳು ಗ್ರಂಥಪಾಲಕ. ,She is the librarian. ,Ол кітапханашы. ,He is a librarian. 
She is a licensed practical nurse.,Nws yog ib tus neeg saib mob uas muaj ntawv tso cai. ,It is a licensed nurse. ,Engedélyezett gyakorlati nővér. ,Authorized practical nurse. ,Hún er löggiltur verkfræðingur. ,She is a certified engineer. ,Ọ bụ nọọsụ nwere ikike. ,She is a licensed nurse. ,Dia adalah perawat praktis berlisensi. ,She is a licensed practical nurse. ,Is altra praiticiúil ceadúnaithe í. ,She is a licensed practical nurse. ,È un'infermiera pratica autorizzata. ,She is a licensed practical nurse. ,彼女は准看護師です。 ,She is an associate nurse. ,Dheweke minangka perawat praktis sing dilisensi. ,She is a licensed practical nurse. ,ಅವಳು ಪರವಾನಗಿ ಪಡೆದ ಪ್ರಾಯೋಗಿಕ ದಾದಿ. ,She is a licensed clinical nurse. ,Ол лицензияланған практикалық мейірбике. ,She is a licensed practical nurse. 
She is a mechanic.,Nws yog tus kws kho tsheb. ,He is a mechanic. ,Szerelő. ,Mechanic. ,Hún er vélvirki. ,She's a mechanic. ,Ọ bụ onye na-arụ ụgbọ ala. ,He is a car mechanic. ,Dia adalah seorang mekanik. ,He is a mechanic. ,Is meicneoir í. ,She is a mechanic. ,È un meccanico. ,He is a mechanic. ,彼女は整備士です。 ,She is a mechanic. ,Dheweke mekanik. ,He was a mechanic. ,ಅವಳು ಮೆಕ್ಯಾನಿಕ್. ,She's a mechanic. ,Ол механик. ,He is a mechanic. 
She is a medical laboratory scientist.,Nws yog ib tus neeg paub txog lub chaw kuaj mob. ,He is an expert on the clinic. ,Orvosi laboratóriumi tudós. ,Medical laboratory scientist. ,Hún er vísindamaður á læknisfræðistofu. ,She is a scientist in a medical practice. ,Ọ bụ ọkà mmụta sayensị ụlọ ọgwụ. ,He is a hospital scientist. ,Dia adalah seorang ilmuwan laboratorium medis. ,He is a medical laboratory scientist. ,Is eolaí saotharlainne míochaine í. ,She is a medical laboratory scientist. ,È una scienziata di laboratorio medico. ,She is a medical laboratory scientist. ,彼女は臨床検査科学者です。 ,She is a laboratory scientist. ,Dheweke minangka ilmuwan laboratorium medis. ,He is a medical laboratory scientist. ,ಅವಳು ವೈದ್ಯಕೀಯ ಪ್ರಯೋಗಾಲಯ ವಿಜ್ಞಾನಿ. ,She is a medical laboratory scientist. ,Ол медициналық зертхананың ғалымы. ,He is a scientist in a medical laboratory. 
