original,En2Tatar,Tatar2En,En2Telugu,Telugu2En,En2Thai,Thai2En,En2Turkish,Turkish2En,En2Turkmen,Turkmen2En,En2Ukrainian,Ukrainian2En,En2Uyghur,Uyghur2En,En2Uzbek,Uzbek2En,En2Vietnamese,Vietnamese2En,En2Welsh,Welsh2En,En2Xhosa,Xhosa2En,En2Yiddish,Yiddish2En
She is a biologist.,Ул биолог. ,St biologist. ,ఆమె జీవశాస్త్రవేత్త. ,She is a biologist. ,เธอเป็นนักชีววิทยา ,She is a biologist ,O bir biyolog. ,"[""He's a biologist."", ""She's a biologist.""]",Ol biolog. ,He is a biologist. ,Вона біолог. ,She is a biologist. ,ئۇ بىر بىئولوگ. ,He is a biologist. ,U biolog. ,He is a biologist. ,Cô ấy là một nhà sinh vật học. ,She is a biologist. ,Mae hi'n fiolegydd. ,She is a biologist. ,Uyingcali yebhayoloji. ,He is a biologist. ,זי איז אַ בייאַלאַדזשאַסט. ,She is a biologist. 
She is a bookkeeper.,Ул бухгалтер. ,Ul accountant. ,ఆమె బుక్కీపర్. ,She is a bookkeeper. ,เธอเป็นคนทำบัญชี ,She is a bookkeeper ,O bir muhasebeci. ,"[""He's an accountant."", ""She's an accountant.""]",Buhgalter. ,Accountant. ,Вона бухгалтер. ,She is an accountant. ,ئۇ كىتابخۇمار. ,He is a book addict. ,U buxgalter. ,He is an accountant. ,Cô ấy là một nhân viên kế toán. ,She is an accountant. ,Mae hi'n cadw cyfrifon. ,She keeps accounts. ,Ungumgcini weencwadi. ,She is a bookkeeper. ,זי איז א בוכהאלטער. ,She is an accountant. 
She is a botanist.,Ул ботаник. ,Ul botanist. ,ఆమె వృక్షశాస్త్రజ్ఞుడు. ,She is a botanist. ,เธอเป็นนักพฤกษศาสตร์ ,She is a botanist ,O bir botanikçi. ,"[""He's a botanist."", ""She's a botanist.""]",Botanikaçy. ,Botanist. ,Вона ботанік. ,She is a botanist. ,ئۇ ئۆسۈملۈكشۇناس. ,He is a botanist. ,U botanik. ,He is a botanist. ,Cô ấy là một nhà thực vật học. ,She is a botanist. ,Mae hi'n fotanegydd. ,She is a botanist. ,Uyingcali yezityalo. ,She is a botanist. ,זי איז אַ באַטאַניסט. ,She is a botanist. 
She is a builder.,Ул төзүче. ,He is the builder. ,ఆమె బిల్డర్. ,She is a builder. ,เธอเป็นคนสร้าง ,She created ,O bir inşaatçı. ,"[""He's a builder."", ""She's a builder.""]",Gurluşykçy. ,Builder. ,Вона будівельник. ,She is a builder. ,ئۇ بىر قۇرۇلۇش قىلغۇچى. ,He is a builder. ,U quruvchi. ,He is a builder. ,Cô ấy là một thợ xây dựng. ,She is a builder. ,Mae hi'n adeiladwr. ,She is a builder. ,Ungumakhi. ,He is a builder. ,זי איז אַ בילדער. ,She is a builder. 
She is a businessperson.,Ул бизнесмен. ,Ul businessman. ,ఆమె ఒక వ్యాపారవేత్త. ,She is a businessman. ,เธอเป็นนักธุรกิจ ,She is a businessman ,O bir iş adamı. ,He's a businessman. ,Ol telekeçi. ,He is an entrepreneur. ,Вона бізнесмен. ,She is a businessman. ,ئۇ بىر سودىگەر. ,He is a businessman. ,U ishbilarmon. ,He is a businessman. ,Cô ấy là một doanh nhân. ,She is an entrepreneur. ,Mae hi'n berson busnes. ,She is a business person. ,Ungusomashishini. ,He is a businessman. ,זי איז אַ געשעפט. ,She is a business. 
She is a butcher.,Ул касапчы. ,He is a butcher. ,ఆమె కసాయి. ,She is a butcher. ,เธอเป็นคนขายเนื้อ ,She is a butcher ,O bir kasaptır. ,"['He is a butcher.', 'She is a butcher.']",Ol gassap. ,He is a butcher. ,Вона - м’ясник. ,She is a butcher. ,ئۇ بىر قاسساپ. ,He is a butcher. ,U qassob. ,He is a butcher. ,Cô ấy là một người bán thịt. ,She is a butcher. ,Mae hi'n gigydd. ,She's a butcher. ,Ungunosilarha. ,She is a butcher. ,זי איז א קצב. ,She is a butcher. 
She is a carpenter.,Ул балта остасы. ,He is a carpenter. ,ఆమె వడ్రంగి. ,She is a carpenter. ,เธอเป็นช่างไม้ ,She is a carpenter ,O bir marangoz. ,"[""He's a carpenter."", ""She's a carpenter.""]",Ol agaç ussasy. ,He is a carpenter. ,Вона столяр. ,She is a carpenter. ,ئۇ ياغاچچى. ,He is a carpenter. ,U duradgor. ,He is a carpenter. ,Cô ấy là một thợ mộc. ,She is a carpenter. ,Saer coed yw hi. ,She is a carpenter. ,Ungumchweli. ,He is a carpenter. ,זי איז אַ סטאָליער. ,She is a carpenter. 
She is a cashier.,Ул кассир. ,Ul cashier. ,ఆమె క్యాషియర్. ,She is the cashier. ,เธอเป็นแคชเชียร์ ,She is a cashier ,O bir kasiyer. ,"[""He's a cashier."", ""She's a cashier.""]",Ol kassir. ,He is a cashier. ,Вона касир. ,She is a cashier. ,ئۇ بىر كاسسىر. ,He is a cashier. ,U kassir. ,And the cashier. ,Cô ấy là một nhân viên thu ngân. ,She is a cashier. ,Ariannwr yw hi. ,She is a cashier. ,Ungumntu othwala imali. ,He is a money carrier. ,זי איז א קאסירער. ,She is a cashier. 
She is a chef.,Ул пешекче. ,She is a cook. ,ఆమె చెఫ్. ,She is a chef. ,เธอเป็นพ่อครัว ,She is a chef ,O bir şef. ,"[""He's a chef."", ""She's a chef.""]",Ol aşpez. ,She is a cook. ,Вона кухар. ,She is a cook. ,ئۇ ئاشپەز. ,She is a chef. ,U oshpaz. ,She is a cook. ,Cô ấy là đầu bếp. ,She is a chef. ,Mae hi'n gogydd. ,She is a cook. ,Ungumpheki. ,She is a cook. ,זי איז אַ שעף. ,She is a chef. 
She is a chemist.,Ул химик. ,Ul chemist. ,ఆమె రసాయన శాస్త్రవేత్త. ,She is a chemist. ,เธอเป็นนักเคมี ,She is a chemist ,O bir kimyagerdir. ,"['He is a chemist.', 'She is a chemist.']",Himiýaçy. ,Chemist. ,Вона хімік. ,She is a chemist. ,ئۇ بىر خىمىك. ,He is a chemist. ,U kimyogar. ,He is a chemist. ,Cô ấy là một nhà hóa học. ,She is a chemist. ,Mae hi'n fferyllydd. ,She is a pharmacist. ,Ungusokhemisi. ,He is a pharmacist. ,זי איז א כעמיקער. ,She is a chemist. 
She is a clergy advisor.,Ул руханилар киңәшчесе. ,He is a priest's counselor. ,ఆమె మతాధికారుల సలహాదారు. ,She was a clerical adviser. ,เธอเป็นที่ปรึกษาคณะสงฆ์ ,She is an adviser to the Sangha. ,O bir din adamları danışmanıdır. ,"['He is an advisor to the clergy.', 'She is an advisor to the clergy.']",Ol ruhanylaryň geňeşçisi. ,He is the counselor of the priests. ,Вона є радником духовенства. ,She is a counselor to the clergy. ,ئۇ دىنىي خادىملارنىڭ مەسلىھەتچىسى. ,He is an advisor to the clergy. ,U ruhoniylarning maslahatchisi. ,He is a counselor to the priests. ,Cô ấy là một cố vấn giáo sĩ. ,She is a missionary advisor. ,Mae hi'n gynghorydd clerigwyr. ,She is a clergy counselor. ,Ungumcebisi wabefundisi. ,He is an adviser to the clergy. ,זי איז אַ קלער אַדווייזער. ,She is a clergy advisor. 
She is a clinical lab technician.,Ул клиник лаборатория техникы. ,Ul clinics laboratory technicians. ,ఆమె క్లినికల్ ల్యాబ్ టెక్నీషియన్. ,She is a Clinical Lab Technician. ,เธอเป็นช่างเทคนิคห้องปฏิบัติการทางคลินิก ,She is a clinical laboratory technician. ,Klinik laboratuvar teknisyenidir. ,"['He is a clinical laboratory technician.', 'She is a clinical laboratory technician.']",Ol kliniki laboratoriýa tehnigi. ,He is a clinical laboratory technician. ,Вона клінічний лаборант. ,She is a clinical laboratory assistant. ,ئۇ كلىنىكىلىق تەجرىبىخانا تېخنىكى. ,He is a clinical laboratory technician. ,U klinik laboratoriya bo'yicha mutaxassis. ,He is a clinical laboratory specialist. ,Cô ấy là một kỹ thuật viên phòng thí nghiệm lâm sàng. ,She is a clinical laboratory technician. ,Mae hi'n dechnegydd labordy clinigol. ,She is a clinical laboratory technician. ,Uyingcali yeelebhu zeklinikhi. ,She is a specialist in clinical laboratories. ,זי איז אַ קליניש לאַב טעכניקער. ,She is a clinical lab technician. 
She is a coach.,Ул тренер. ,Ul coach. ,ఆమె కోచ్. ,She is a coach. ,เธอเป็นโค้ช ,She is a coach ,O bir koç. ,"[""He's a coach."", ""She's a coach.""]",Ol tälimçi. ,He is a coach. ,Вона тренер. ,She is a coach. ,ئۇ بىر مەشقاۋۇل. ,He is a coach. ,U murabbiy. ,He is a coach. ,Cô ấy là một huấn luyện viên. ,She is a coach. ,Mae hi'n hyfforddwr. ,She is a coach. ,Ungumqeqeshi. ,He is a coach. ,זי איז אַ קאַרעטע. ,She is a coach. 
She is a developer.,Ул уйлап табучы. ,He is the inventor. ,ఆమె డెవలపర్. ,She is a developer. ,เธอเป็นนักพัฒนา ,She is a developer ,O bir geliştiricidir. ,"['He is a developer.', 'She is a developer.']",Ol dörediji. ,He is the creator. ,Вона розробник. ,She is a developer. ,ئۇ بىر پروگرامما ئاچقۇچى. ,It is a program developer. ,U ishlab chiquvchi. ,He is a developer. ,Cô ấy là một nhà phát triển. ,She is a developer. ,Mae hi'n ddatblygwr. ,She is a developer. ,Ungumphuhlisi. ,He is a developer. ,זי איז אַ דעוועלאָפּער. ,She is a developer. 
She is a dietitian.,Ул диетолог. ,Ul nutritionist. ,ఆమె డైటీషియన్. ,She is a dietitian. ,เธอเป็นนักกำหนดอาหาร ,She is a dietitian ,O bir diyetisyen. ,"[""He's a dietician."", ""She's a dietician.""]",Ol diyetisist. ,He is a dietitian. ,Вона дієтолог. ,She is a nutritionist. ,ئۇ بىر يېمەك-ئىچمەك دوختۇرى. ,He is a dietitian. ,U dietolog. ,He is a dietitian. ,Cô ấy là một chuyên gia dinh dưỡng. ,She is a nutritionist. ,Mae hi'n ddietegydd. ,She is a dietitian. ,Ungumntu otya ukutya. ,He is a man who eats food. ,זי איז אַ דייאַטישאַן. ,She is a dietitian. 
She is an ecologist.,Ул эколог. ,Str ecologist. ,ఆమె పర్యావరణ శాస్త్రవేత్త. ,She is an ecologist. ,เธอเป็นนักนิเวศวิทยา ,She is an ecologist ,Ekolojisttir. ,"['He is an ecologist.', 'She is an ecologist.']",Ol ekolog. ,He is an ecologist. ,Вона еколог. ,She is an ecologist. ,ئۇ بىر ئېكولوگ. ,He is an ecologist. ,U ekolog. ,He is an ecologist. ,Cô ấy là một nhà sinh thái học. ,She is an ecologist. ,Mae hi'n ecolegydd. ,She is an ecologist. ,Uyingcali yendalo. ,He is a naturalist. ,זי איז אַן יקאַלאַדזשיסט. ,She is an ecologist. 
She is an editor.,Ул редактор. ,Ul editor. ,ఆమె ఎడిటర్. ,She is the editor. ,เธอเป็นบรรณาธิการ ,She is an editor ,O bir editör. ,"[""He's an editor."", ""She's an editor.""]",Ol redaktor. ,He is the editor. ,Вона редактор. ,She is an editor. ,ئۇ بىر تەھرىر. ,He is an editor. ,U muharrir. ,He is the editor. ,Cô ấy là một biên tập viên. ,She is an editor. ,Mae hi'n olygydd. ,She is an editor. ,Ungumhleli. ,He is an editor. ,זי איז אַ רעדאַקטאָר. ,She is an editor. 
She is an electrician.,Ул электрик. ,He is an electrician. ,ఆమె ఎలక్ట్రీషియన్. ,She is an electrician. ,เธอเป็นช่างไฟฟ้า ,She is an electrician ,O bir elektrikçi. ,"[""He's an electrician."", ""She's an electrician.""]",Ol elektrikçi. ,He is an electrician. ,Вона електрик. ,She is an electrician. ,ئۇ بىر ئېلېكتر ئۈسكۈنىسى. ,It is an electrical device. ,U elektrchi. ,He is an electrician. ,Cô ấy là một thợ điện. ,She is an electrician. ,Mae hi'n drydanwr. ,She is an electrician. ,Ungumbane. ,He is an electrician. ,זי איז אַן עלעקטרישאַן. ,She is an electrician. 
She is an EMT specialist.,Ул EMT белгече. ,He is an EMT specialist. ,ఆమె EMT స్పెషలిస్ట్. ,She is an EMT Specialist. ,เธอเป็นผู้เชี่ยวชาญด้าน EMT ,She is an EMT expert. ,EMT uzmanıdır. ,EMT expert. ,EMT hünärmeni. ,EMT specialist. ,Вона спеціаліст з ЕМТ. ,She is an EMT specialist. ,ئۇ EMT مۇتەخەسسىسى. ,He is an EMT specialist. ,U EMT mutaxassisi. ,He is an EMT specialist. ,Cô ấy là một chuyên gia EMT. ,She is an EMT specialist. ,Mae hi'n arbenigwr EMT. ,She is an EMT specialist. ,Uyingcali ye-EMT. ,She is an EMT specialist. ,זי איז אַן EMT מומכע. ,She is an EMT specialist. 
She is a farmer.,Ул фермер. ,Street farmer. ,ఆమె రైతు. ,She is a farmer. ,เธอเป็นลูกชาวนา ,She is a farmer's son ,O bir çiftçi. ,"[""He's a farmer."", ""She's a farmer.""]",Ol daýhan. ,He is a farmer. ,Вона фермер. ,She is a farmer. ,ئۇ بىر دېھقان. ,He is a farmer. ,U fermer. ,The farmer. ,Cô ấy là một nông dân. ,She is a farmer. ,Mae hi'n ffermwr. ,She's a farmer. ,Ungumlimi. ,He is a farmer. ,זי איז א פויער. ,She is a farmer. 
She is a filmmaker.,Ул кинорежиссер. ,Ul filmmaker. ,ఆమె చిత్రనిర్మాత. ,She is a filmmaker. ,เธอเป็นคนถ่าย ,She is the one taking the photo ,O bir film yapımcısı. ,"[""He's a filmmaker."", ""She's a filmmaker.""]",Kinoreerissýor. ,Film director. ,Вона режисер. ,She is a director. ,ئۇ بىر فىلىم ئىشلىگۈچى. ,He is a filmmaker. ,U kinorejissyor. ,He is a film director. ,Cô ấy là một nhà làm phim. ,She is a filmmaker. ,Gwneuthurwr ffilmiau yw hi. ,She is a filmmaker. ,Ungumenzi wefilimu. ,He is a filmmaker. ,זי איז אַ פילמייקער. ,She is a filmmaker. 
She is a firefighter.,Ул янгын сүндерүче. ,He is a firefighter. ,ఆమె అగ్నిమాపక సిబ్బంది. ,She is a firefighter. ,เธอเป็นนักผจญเพลิง ,She is a firefighter ,O bir itfaiyeci. ,He is a fireman. ,Ol ýangyn söndüriji. ,He is a firefighter. ,Вона пожежна. ,She is a firefighter. ,ئۇ ئوت ئۆچۈرگۈچى. ,He is a firefighter. ,U o't o'chiruvchi. ,He is a firefighter. ,Cô ấy là một lính cứu hỏa. ,She is a firefighter. ,Mae hi'n ddiffoddwr tân. ,She is a firefighter. ,Ungumcimi-mlilo. ,He is a firefighter. ,זי איז א פייערלעשער. ,She is a firefighter. 
She is a fisherman.,Ул балыкчы. ,He is a fisherman. ,ఆమె ఒక జాలరి. ,She is a fisherman. ,เธอเป็นชาวประมง ,She is a fisherman ,O bir balıkçı. ,"[""He's a fisherman."", ""She's a fisherman.""]",Ol balykçy. ,He is a fisherman. ,Вона рибалка. ,She is a fisherman. ,ئۇ بىر بېلىقچى. ,He is a fisherman. ,U baliqchi. ,He is a fisherman. ,Cô ấy là một ngư dân. ,She is a fisherman. ,Pysgotwr yw hi. ,She is a fisherman. ,Ungumlobi weentlanzi. ,He is a fisherman. ,זי איז א פישער. ,She is a fisherman. 
She is a flight attendant.,Ул очучы. ,He is a pilot. ,ఆమె ఫ్లైట్ అటెండెంట్. ,She is a flight attendant. ,เธอเป็นพนักงานต้อนรับบนเครื่องบิน ,She is a flight attendant. ,O bir uçuş görevlisi. ,"[""He's a flight attendant."", ""She's a flight attendant.""]",Ol uçarman. ,He is a pilot. ,Вона стюардеса. ,She is a flight attendant. ,ئۇ بىر ئايروپىلان خىزمەتچىسى. ,He is a flight attendant. ,U styuardessa. ,The hostess. ,Cô ấy là tiếp viên hàng không. ,She is a flight attendant. ,Mae hi'n gynorthwyydd hedfan. ,She is a flight attendant. ,Ungumncedisi wenqwelomoya. ,She is an airliner. ,זי איז אַ פלי באַגלייטער. ,She is a flight attendant. 
She is a geneticist.,Ул генетик. ,He is genetic. ,ఆమె జన్యు శాస్త్రవేత్త. ,She is a geneticist. ,เธอเป็นนักพันธุศาสตร์ ,She is a geneticist ,O bir genetikçi. ,"[""He's a geneticist."", ""She's a geneticist.""]",Genetik. ,Genetic. ,Вона генетик. ,She is a geneticist. ,ئۇ بىر ئىرسىيەتشۇناس. ,He is a geneticist. ,U genetik. ,U genetic. ,Cô ấy là một nhà di truyền học. ,She is a geneticist. ,Mae hi'n genetegydd. ,She is a geneticist. ,Ungumfuzo. ,He is a genetic. ,זי איז אַ גענעטיק. ,She is a geneticist. 
She is a geologist.,Ул геолог. ,He is a geologist. ,ఆమె భూవిజ్ఞాన శాస్త్రవేత్త. ,She is a geologist. ,เธอเป็นนักธรณีวิทยา ,She is a geologist ,O bir jeolog. ,"[""He's a geologist."", ""She's a geologist.""]",Ol geolog. ,He is a geologist. ,Вона геолог. ,She is a geologist. ,ئۇ بىر گېئولوگ. ,He is a geologist. ,U geolog. ,He is a geologist. ,Cô ấy là một nhà địa chất. ,She is a geologist. ,Mae hi'n ddaearegwr. ,She is a geologist. ,Uyingcali yokuma komhlaba. ,He is a geologist. ,זי איז אַ געאָלאָגיסט. ,She is a geologist. 
She is a graphic designer.,Ул график дизайнер. ,Ul graphic designer. ,ఆమె గ్రాఫిక్ డిజైనర్. ,She is a graphic designer. ,เธอเป็นนักออกแบบกราฟิก ,She is a graphic designer ,Kendisi bir grafik tasarımcıdır. ,"['He is a graphic designer.', 'She is a graphic designer.']",Ol grafiki dizaýner. ,He is a graphic designer. ,Вона графічний дизайнер. ,She is a graphic designer. ,ئۇ گرافىك لايىھىلىگۈچى. ,He is a graphic designer. ,U grafika bo'yicha dizayner. ,He is a graphic designer. ,Cô ấy là một nhà thiết kế đồ họa. ,She is a graphic designer. ,Dylunydd graffig yw hi. ,She is a graphic designer. ,Uyilo lwegraphic. ,Graphic design. ,זי איז אַ גראַפיק דיזיינער. ,She is a graphic designer. 
She is a human resource specialist.,Ул кадрлар белгече. ,He is a HR specialist. ,ఆమె మానవ వనరుల నిపుణుడు. ,She is a human resources expert. ,เธอเป็นผู้เชี่ยวชาญด้านทรัพยากรมนุษย์ ,She is an expert in human resources. ,İnsan kaynakları uzmanıdır. ,"['He is a human resources expert.', 'She is a human resources expert.']",Adam resurslary boýunça hünärmen. ,Human Resources Specialist. ,Вона спеціаліст з персоналу. ,She is a HR specialist. ,ئۇ ئادەم كۈچى بايلىقى مۇتەخەسسىسى. ,He is a human resources expert. ,U kadrlar bo'yicha mutaxassis. ,He is a HR specialist. ,Cô ấy là một chuyên gia nhân sự. ,She is an HR specialist. ,Mae hi'n arbenigwr adnoddau dynol. ,She is a human resources expert. ,Uyingcali kwezabasebenzi. ,He is a labor specialist. ,זי איז אַ מענטשלעך מיטל מומכע. ,She is a human resources specialist. 
She is an immunologist.,Ул иммунолог. ,Ul immunologist. ,ఆమె ఇమ్యునోలజిస్ట్. ,She is an immunologist. ,เธอเป็นนักภูมิคุ้มกันวิทยา ,She is an immunologist ,O bir immünologdur. ,"['He is an immunologist.', 'She is an immunologist.']",Immunolog. ,Immunologist. ,Вона імунолог. ,She is an immunologist. ,ئۇ ئىممۇنىتېت دوختۇرى. ,He is an immunologist. ,U immunolog. ,The immunologist. ,Cô ấy là một nhà miễn dịch học. ,She is an immunologist. ,Mae hi'n imiwnolegydd. ,She is an immunologist. ,Ugqirha wezilwanyana. ,Veterinarian. ,זי איז אַן ימיונאָלאָגיסט. ,She is an immunologist. 
She is an interpreters.,Ул тәрҗемәче. ,He is a translator. ,ఆమె వ్యాఖ్యాతలు. ,Her commentators. ,เธอเป็นล่าม ,She is an interpreter ,O bir tercüman. ,"[""He's a translator."", ""She's a translator.""]",Ol terjimeçi. ,He is a translator. ,Вона перекладач. ,She is a translator. ,ئۇ تەرجىمان. ,He is an interpreter. ,U tarjimon. ,He is a translator. ,Cô ấy là một thông dịch viên. ,She is an interpreter. ,Mae hi'n gyfieithydd ar y pryd. ,She is a translator. ,Ungumtoliki. ,He is an interpreter. ,זי איז אַן איבערזעצער. ,She is a translator. 
She is a jeweller.,Ул зәркәнче. ,Before he gets bored. ,ఆమె స్వర్ణకారుడు. ,She is a jeweler. ,เธอเป็นพ่อค้าอัญมณี ,She is a jeweler ,O bir kuyumcu. ,"[""He's a jeweler."", ""She's a jeweler.""]",Ol zergär. ,He is a jeweler. ,Вона ювелір. ,She is a jeweler. ,ئۇ بىر ئۈنچە-مەرۋايىت. ,It’s a gem. ,U zargar. ,He is a jeweler. ,Cô ấy là một thợ kim hoàn. ,She is a jeweler. ,Mae hi'n emydd. ,She jeweler . ,Ngumthengisi wezacholo. ,She is a jewelry seller. ,זי איז אַ יווועלירער. ,She is a jeweler. 
She is a lawyer.,Ул юрист. ,Street lawyer. ,ఆమె న్యాయవాది. ,She is a lawyer. ,เธอเป็นทนายความ ,She is a lawyer ,O bir avukat. ,"[""He's a lawyer."", ""She's a lawyer.""]",Aklawçy. ,Lawyer. ,Вона юрист. ,She is a lawyer. ,ئۇ ئادۋوكات. ,He is a lawyer. ,U advokat. ,He is a lawyer. ,Cô ấy là luật sư. ,She is a lawyer. ,Mae hi'n gyfreithiwr. ,She is a lawyer. ,Uligqwetha. ,He is a lawyer. ,זי איז אן אדװאקאט. ,She's a lawyer. 
