original,En2Sindhi,Sindhi2En,En2Sinhalese,Sinhalese2En,En2Slovak,Slovak2En,En2Slovenian,Slovenian2En,En2Somali,Somali2En,En2Spanish,Spanish2En,En2Sundanese,Sundanese2En,En2Swahili,Swahili2En,En2Swedish,Swedish2En,En2Tagalog,Tagalog2En,En2Tajik,Tajik2En,En2Tamil,Tamil2En
She is a clinical lab technician.,هوءَ هڪ ڪلينڪل ليب ٽيڪنيشن آهي. ,She is a clinical lab technician. ,ඇය සායනික විද්‍යාගාර ශිල්පිනියකි. ,She is a clinical laboratory technician. ,Je technikom klinickej laboratória. ,He is a clinical laboratory technician. ,Je klinična laboratorijska tehnica. ,It is a clinical laboratory technique. ,Iyadu waa farsamo yaqaan shaybaar. ,She is a laboratory technician. ,Ella es técnica de laboratorio clínico. ,She is a clinical laboratory technician. ,Anjeunna mangrupakeun teknisi lab klinis. ,He is a clinical lab technician. ,Yeye ni fundi wa maabara ya kliniki. ,He is a clinical laboratory technician. ,Hon är klinisk laboratorietekniker. ,She is a clinical laboratory technician. ,Siya ay isang technician ng klinikal na lab. ,He is a clinical lab technician. ,Вай лаборанти лабораторӣ аст. ,She is a laboratory assistant. ,அவர் ஒரு மருத்துவ ஆய்வக தொழில்நுட்ப வல்லுநர். ,He is a medical laboratory technician. 
She is a coach.,هوءَ ڪوچ آهي. ,She is the coach ,ඇය පුහුණුකරුවෙකි. ,She is a coach. ,Je trénerkou. ,She is a coach. ,Je trenerka. ,She's a tracksuit. ,Iyadu waa tababare. ,She is a coach. ,Ella es entrenadora. ,She is a coach. ,Anjeunna palatih. ,He is a coach. ,Yeye ni kocha. ,He is a coach. ,Hon är en tränare. ,She's a coach. ,Siya ay isang coach. ,He is a coach. ,Вай мураббӣ аст. ,She is a coach. ,அவள் ஒரு பயிற்சியாளர். ,She is a coach. 
She is a developer.,هوءَ ترقي ڪندڙ آهي. ,She is a developer. ,ඇය සංවර්ධකයෙකි. ,She is a developer. ,Je vývojárka. ,She is a developer. ,Ona je razvijalec. ,She is a developer. ,Iyadu waa horumariyaha. ,She is the developer. ,Ella es desarrolladora. ,She is a developer. ,Anjeunna pangembang. ,He is a developer. ,Yeye ni msanidi programu. ,He is a software developer. ,Hon är en utvecklare. ,She is a developer. ,Siya ay isang developer. ,He is a developer. ,Вай таҳиягар аст. ,She is a developer. ,அவள் ஒரு டெவலப்பர். ,She is a developer. 
She is a dietitian.,هوءَ ماہر غذا آهي. ,She is a dietitian. ,ඇය ආහාරවේදියෙකි. ,She is a dietitian. ,Je dietologička. ,She is a dietitian. ,Je dietetik. ,I am a dietitian. ,Iyadu waa cunto-yaqaan. ,She is a chef. ,Ella es dietista. ,She is a dietitian. ,Anjeunna ahli diet. ,He is a dietitian. ,Yeye ni mtaalam wa lishe. ,She is a nutritionist. ,Hon är dietist. ,She's a dietitian. ,Siya ay isang dietitian. ,He is a dietitian. ,Вай парҳезшинос аст. ,She is a dietitian. ,அவள் ஒரு டயட்டீஷியன். ,She is a dietitian. 
She is an ecologist.,هوءَ ماحوليات جي ماهر آهي. ,She is an environmental expert. ,ඇය පරිසරවේදියෙකි. ,She is an environmentalist. ,Je ekológka. ,It's ecology. ,Je ekologinja. ,She is an ecologist. ,Iyadu waa aqoon yahan cilmiga deegaanka. ,She is an environmental scientist. ,Ella es ecologista. ,She is an ecologist. ,Anjeunna ékologis. ,He is ecological. ,Yeye ni mwanaikolojia. ,He is a psychologist. ,Hon är ekolog. ,She's an ecologist. ,Siya ay isang ecologist. ,He is an ecologist. ,Вай эколог аст. ,She is an ecologist. ,அவள் ஒரு சூழலியல் நிபுணர். ,She is an ecologist. 
She is an editor.,هوءَ ايڊيٽر آهي. ,She is the editor. ,ඇය සංස්කාරකවරියකි. ,She is an editor. ,Je redaktorkou. ,She is an editor. ,Je urednica. ,She is an editor. ,Iyadu waa tifaftire. ,She is an editor. ,Ella es editora. ,She is an editor. ,Anjeunna mangrupikeun éditor. ,He is an editor. ,Yeye ni mhariri. ,He is an editor. ,Hon är redaktör. ,She is an editor. ,Siya ay isang editor. ,He is an editor. ,Вай муҳаррир аст. ,She is an editor. ,அவள் ஒரு ஆசிரியர். ,She is a teacher. 
She is an electrician.,هوءَ هڪ بجلي واري آهي. ,She is an electrician. ,ඇය විදුලි කාර්මිකයෙකි. ,She is an electrician. ,Je elektrikárka. ,She is an electrician. ,Je električarka. ,She's an electrician. ,Iyadu waa koronto yaqaan. ,She is an electrician. ,Ella es electricista. ,She is an electrician. ,Anjeunna listrik. ,He is electric. ,Yeye ni fundi umeme. ,He is an electrician. ,Hon är elektriker. ,She's an electrician. ,Siya ay isang elektrisista. ,He is an electrician. ,Вай электрик аст. ,She is an electrician. ,அவள் எலக்ட்ரீஷியன். ,She is an electrician. 
She is an EMT specialist.,هوءَ اي ايم ٽي ماهر آهي. ,She is an EMT specialist. ,ඇය ඊඑම්ටී විශේෂ ist වරියකි. ,She is an EMT Specialist. ,Je špecialistkou na EMT. ,She is an EMT specialist. ,Je strokovnjakinja za EMT. ,She is an EMT expert. ,Iyadu waa khabiir ku takhasustay EMT. ,She is an EMT specialist. ,Ella es especialista en EMT. ,She is an EMT specialist. ,Anjeunna spesialis EMT. ,He is an EMT specialist. ,Yeye ni mtaalam wa EMT. ,He is an EMT specialist. ,Hon är EMT-specialist. ,She is an EMT specialist. ,Siya ay isang dalubhasa sa EMT. ,He is an EMT expert. ,Вай мутахассиси EMT мебошад. ,She is an EMT specialist. ,அவர் ஒரு EMT நிபுணர். ,He is an EMT expert. 
She is a farmer.,هوءَ زراعت ڪندڙ آهي. ,She is a farmer. ,ඇය ගොවියෙකි. ,She is a farmer. ,Je to farmárka. ,She's a farmer. ,Je kmetica. ,She is a farmer. ,Iyadu waa beeraley. ,She is a farmer. ,Ella es granjera. ,She is a farmer. ,Anjeunna patani. ,He is a farmer. ,Yeye ni mkulima. ,He is a farmer. ,Hon är jordbrukare. ,She is a farmer. ,Siya ay isang magsasaka. ,He is a farmer. ,Вай деҳқон аст. ,She is a farmer. ,அவள் ஒரு விவசாயி. ,She is a farmer. 
She is a filmmaker.,هوءَ فلمسازه آهي. ,She is a moviegoer. ,ඇය චිත්‍රපට නිෂ්පාදිකාවකි. ,She is a film producer. ,Je filmárkou. ,She is a filmmaker. ,Je filmska ustvarjalka. ,She is a filmmaker. ,Iyadu waa filim sameeye. ,She is a filmmaker. ,Ella es una cineasta. ,She is a filmmaker. ,Anjeunna mangrupikeun pembuat pilem. ,He is a filmmaker. ,Yeye ni mtengenezaji wa filamu. ,He is a filmmaker. ,Hon är filmskapare. ,She is a filmmaker. ,Siya ay isang tagagawa ng pelikula. ,He is a filmmaker. ,Вай филмсоз аст. ,She is a filmmaker. ,அவர் ஒரு திரைப்பட தயாரிப்பாளர். ,He is a filmmaker. 
She is a firefighter.,هوءَ فائر فائائيندڙ آهي. ,She is a firefighter. ,ඇය ගිනි නිවන භටයෙකි. ,She is a firefighter. ,Je hasičkou. ,She's a firefighter. ,Je gasilka. ,She's a firefighter. ,Iyadu waa dab-damiye. ,She is a firefighter. ,Ella es bombero. ,She is a firefighter. ,Anjeunna saurang pemadam kebakaran. ,He is a firefighter. ,Yeye ni moto wa moto. ,He is a fiery fire. ,Hon är brandman. ,She's a firefighter. ,Siya ay isang bumbero. ,He is a firefighter. ,Вай оташнишон аст. ,She is a firefighter. ,அவள் தீயணைப்பு வீரர். ,She is a firefighter. 
She is a fisherman.,هوءَ مڇي مارڻ واري آهي. ,She's fishing. ,ඇය ධීවරයෙකි. ,She is a fisherman. ,Je rybárka. ,She is a fisherman. ,Je ribičica. ,She's a fisherwoman. ,Iyadu waa kalluumeysato. ,She is a fisherman. ,Ella es un pescador. ,She is a fisherman. ,Anjeunna pamayang. ,He is a fisherman. ,Yeye ni mvuvi. ,He is a fisherman. ,Hon är fiskare. ,She's a fisherman. ,Siya ay isang mangingisda. ,He is a fisherman. ,Вай моҳигир аст. ,She is a fisherman. ,அவள் ஒரு மீனவன். ,She is a fisherman. 
She is a flight attendant.,هوء هڪ پرواز ۾ شرڪت ڪندڙ آهي. ,She is a flight attendant. ,ඇය ගුවන් සේවිකාවකි. ,She is an air hostess. ,Je letuškou. ,She's a flight attendant. ,Je stevardesa. ,She's a flight attendant. ,Iyadu waa adeege duulimaad. ,She is a flight attendant. ,Ella es una azafata. ,She is a flight attendant. ,Anjeunna pramugari. ,He is a stewardess. ,Yeye ni mhudumu wa ndege. ,He is a flight attendant. ,Hon är en flygvärdinna. ,She's a flight attendant. ,Siya ay isang flight attendant. ,He is a flight attendant. ,Вай стюардесса мебошад. ,She is a flight attendant. ,அவள் ஒரு விமான உதவியாளர். ,She is a flight attendant. 
She is a geneticist.,هوءَ جينياتدان آهي. ,She is a geneticist. ,ඇය ජාන විද්‍යා ist වරියකි. ,She is a geneticist. ,Je genetička. ,She's genetic. ,Je genetičarka. ,She's a geneticist. ,Iyadu waa cilmiga hidaha. ,She is a geneticist. ,Ella es genetista. ,She is a geneticist. ,Anjeunna ahli genetika. ,He is a geneticist. ,Yeye ni mtaalam wa maumbile. ,He is a geneticist. ,Hon är genetiker. ,She's a geneticist. ,Siya ay isang genetiko. ,He is a geneticist. ,Вай генетик аст. ,She is genetic. ,அவள் ஒரு மரபியலாளர். ,She is a geneticist. 
She is a geologist.,هوءَ جيولاجسٽ آهي. ,She is a geologist. ,ඇය භූ විද්‍යා ologist යෙකි. ,She is a geologist. ,Je geologička. ,She is a geologist. ,Je geologinja. ,She is a geologist. ,Waxay ku taqasusay cilmiga dhulka. ,She specializes in geology. ,Ella es geóloga. ,She is a geologist. ,Anjeunna ahli géologi. ,He is a geologist. ,Yeye ni mtaalam wa jiolojia. ,He is a geologist. ,Hon är geolog. ,She's a geologist. ,Siya ay isang geologist. ,He is a geologist. ,Вай геолог аст. ,She is a geologist. ,அவள் ஒரு புவியியலாளர். ,She is a geographer. 
She is a graphic designer.,هوءَ هڪ گرافڪ ڊزائنر آهي. ,She is a graphic designer. ,ඇය ග්‍රැෆික් නිර්මාණකරුවෙකි. ,She is a graphic designer. ,Je grafická dizajnérka. ,She is a graphic designer. ,Je grafična oblikovalka. ,She is a graphic designer. ,Iyadu waa naqshadeeye garaaf ah. ,She is a graphic designer. ,Ella es diseñadora gráfica. ,She is a graphic designer. ,Anjeunna mangrupikeun desainer grafis. ,He is a graphic designer. ,Yeye ni mbuni wa picha. ,He is an artist. ,Hon är grafisk formgivare. ,She is a graphic designer. ,Siya ay isang graphic designer. ,She is a graphic designer. ,Вай тарроҳи графикӣ аст. ,She is a graphic designer. ,அவர் ஒரு கிராஃபிக் டிசைனர். ,He is a graphic designer. 
She is a human resource specialist.,هوءَ انساني وسيلن جو ماهر آهي. ,She is a human resources expert. ,ඇය මානව සම්පත් විශේෂ ist වරියකි. ,She is a Human Resources Specialist. ,Je špecialistkou na ľudské zdroje. ,She is a human resources specialist. ,Je strokovnjakinja za kadre. ,She is a human resources expert. ,Iyadu waa khabiir ku takhasustay arrimaha shaqaalaha. ,She is an expert in labor issues. ,Ella es especialista en recursos humanos. ,She is a human resources specialist. ,Anjeunna ahli SDM. ,He is an HR expert. ,Yeye ni mtaalamu wa rasilimali watu. ,He is a human resource specialist. ,Hon är specialist på personalresurser. ,She is a specialist in human resources. ,Siya ay isang espesyalista sa mapagkukunan ng tao. ,He is a specialist in human resources. ,Вай мутахассиси захираҳои инсонӣ мебошад. ,He is a human resources specialist. ,அவர் ஒரு மனித வள நிபுணர். ,He is a human resource expert. 
She is an immunologist.,هوءَ هڪ امونولوجسٽ آهي. ,She is an immunologist. ,ඇය ප්‍රතිශක්ති විශේෂ ist වරියකි. ,She is an Immunity Specialist. ,Je imunologička. ,She is an immunologist. ,Je imunologinja. ,She's an immunologist. ,Iyadu waa dhakhtar ku takhasustay difaaca jirka. ,She is a doctor who specializes in the immune system. ,Ella es inmunóloga. ,She is an immunologist. ,Anjeunna ahli imunologis. ,He is an immunologist. ,Yeye ni mtaalam wa kinga. ,He is an immune specialist. ,Hon är immunolog. ,She's an immunologist. ,Siya ay isang immunologist. ,He is an immunologist. ,Вай иммунолог аст. ,She is an immunologist. ,அவள் நோயெதிர்ப்பு நிபுணர். ,She is an immunologist. 
She is an interpreters.,هوءَ هڪ ترجمان آهي. ,She is a spokesperson. ,ඇය පරිවර්තකයෙකි. ,She is a translator. ,Je tlmočníčkou. ,She is an interpreter. ,Je tolmačica. ,She is an interpreter. ,Iyadu waa turjubaanno. ,She is an interpreter. ,Ella es intérprete. ,She is an interpreter. ,Anjeunna mangrupikeun juru basa. ,He is an interpreter. ,Yeye ni mkalimani. ,He is an interpreter. ,Hon är tolk. ,She is an interpreter. ,Siya ay isang interpreter. ,He is an interpreter. ,Вай тарҷумон аст. ,She is a translator. ,அவள் ஒரு மொழிபெயர்ப்பாளர். ,She is a translator. 
She is a jeweller.,هوءَ هڪ زيور آهي. ,She is a jewel ,ඇය ස්වර්ණාභරණ. ,She is a jeweler. ,Je klenotníčka. ,She's a jeweler. ,Je draguljarka. ,She's a jeweler. ,Iyadu waa dahable. ,She is gold. ,Ella es joyero. ,She is a jeweler. ,Anjeunna tukang perhiasan. ,He is a jeweler. ,Yeye ni mtia vito. ,He is a jewel. ,Hon är juvelerare. ,She's a jeweler. ,Siya ay isang alahas. ,She is a jewelry. ,Вай заргар аст. ,She is a jeweler. ,அவள் ஒரு நகை வியாபாரி. ,She is a jeweler. 
She is a lawyer.,هوءَ وڪيل آهي. ,She is a lawyer ,ඇය නීති .වරියකි. ,She is a lawyer. ,Je právnička. ,She's a lawyer. ,Je odvetnica. ,She's a lawyer. ,Iyadu waa garyaqaan. ,She is a lawyer. ,Ella es una abogada. ,She is a lawyer. ,Anjeunna pengacara. ,He is a lawyer. ,Yeye ni wakili. ,He is a lawyer. ,Hon är advokat. ,She's a lawyer. ,Siya ay isang abogado. ,He is a lawyer. ,Вай ҳуқуқшинос аст. ,She is a lawyer. ,அவள் ஒரு வழக்கறிஞர். ,She is a lawyer. 
She is a librarian.,هوءَ هڪ لائبريرين آهي. ,She is a librarian. ,ඇය පුස්තකාලයාධිපතිවරියකි. ,She is a librarian. ,Je knihovníčkou. ,She is a librarian. ,Je knjižničarka. ,She's a librarian. ,Iyadu waa maktabad. ,She is a librarian. ,Ella es bibliotecaria. ,She is a librarian. ,Anjeunna pustakawan. ,He is a librarian. ,Yeye ni mkutubi. ,He is a liberator. ,Hon är bibliotekarie. ,She's a librarian. ,Siya ay isang librarian. ,He is a librarian. ,Вай китобдор аст. ,She is a librarian. ,அவள் ஒரு நூலகர். ,She is a librarian. 
