original,En2Malagasy,Malagasy2En,En2Malay,Malay2En,En2Malayalam,Malayalam2En,En2Maltese,Maltese2En,En2Maori,Maori2En,En2Marathi,Marathi2En,En2Mongolian,Mongolian2En,En2Burmese,Burmese2En,En2Nepali,Nepali2En,En2Norwegian,Norwegian2En,En2Nyanja_Chichewa,Nyanja_Chichewa2En,En2Oriya,Oriya2En
She is a chemist.,Mpahay simia izy. ,He is a chemist. ,Dia adalah ahli kimia. ,He is a chemist. ,അവൾ ഒരു രസതന്ത്രജ്ഞയാണ്. ,She is a chemist. ,Hija spiżjara. ,She is a pharmacist. ,He matū ia. ,He is a chemical. ,ती एक केमिस्ट आहे. ,She is a chemist. ,Тэр бол химич мэргэжилтэй. ,He is a chemist. ,သူမသည်ဓာတုဗေဒပညာရှင်ဖြစ်သည်။ ,She is a chemist. ,उनी केमिस्ट हुन्। ,He is a chemist. ,Hun er kjemiker. ,She's a chemist. ,Iye ndi katswiri wamagetsi. ,He is an electrician. ,ସେ ଜଣେ ରସାୟନ ବିଜ୍ଞାନୀ | ,He is a chemist 
She is a clergy advisor.,Mpanolotsaina mpitondra fivavahana izy. ,He is a religious counselor. ,Dia adalah penasihat paderi. ,He is the pastor's advisor. ,അവൾ ഒരു പുരോഹിത ഉപദേശകയാണ്. ,She is a priestly counselor. ,Hija konsulent tal-kleru. ,She is a consultant to the clergy. ,He kaitohutohu tohunga ia. ,He is an expert consultant. ,ती पाद्री सल्लागार आहेत. ,She is a pastor counselor. ,Тэр бол шашны зөвлөх юм. ,He is a religious counselor. ,သူမသည်ဓမ္မဆရာအကြံပေးဖြစ်သည်။ ,She is an adviser to the pastor. ,उनी पादरी सल्लाहकार हुन्। ,He is a pastor counselor. ,Hun er geistlig rådgiver. ,She is a spiritual counselor. ,Ndi mlangizi wachipembedzo. ,He is a religious adviser. ,ସେ ଜଣେ ଧର୍ମଗୁରୁ ପରାମର୍ଶଦାତା। ,He is a religious adviser. 
She is a clinical lab technician.,Teknika amin'ny laboratoara klinika izy. ,He is a technician in a clinical laboratory. ,Dia adalah juruteknik makmal klinikal. ,He is a clinical laboratory technician. ,അവൾ ഒരു ക്ലിനിക്കൽ ലാബ് ടെക്നീഷ്യനാണ്. ,She is a Clinical Lab Technician. ,Hija teknika tal-laboratorju kliniku. ,It is a clinical laboratory technique. ,He tohunga hangarau taiwhanga haumanu a ia. ,She is a clinical laboratory technician. ,ती क्लिनिकल लॅब तंत्रज्ञ आहे. ,She is a clinical lab technician. ,Тэрээр клиникийн лабораторийн техникч юм. ,He is a clinical laboratory technician. ,သူမသည်လက်တွေ့ဓာတ်ခွဲခန်းပညာရှင်ဖြစ်သည်။ ,She is a clinical lab technician. ,उनी क्लिनिकल ल्याब टेक्नीशियन हुन्। ,He is a clinical lab technician. ,Hun er klinisk laboratorietekniker. ,She is a clinical laboratory technician. ,Ndi mlangizi wazachipatala. ,She is a medical consultant. ,ସେ ଜଣେ କ୍ଲିନିକାଲ୍ ଲ୍ୟାବ୍ ଟେକ୍ନିସିଆନ୍ | ,He is a clinical lab technician 
She is a coach.,Mpanazatra izy. ,He is a coach. ,Dia adalah jurulatih. ,He is the coach. ,അവൾ ഒരു പരിശീലകയാണ്. ,She is a coach. ,Hija kowċ. ,She is a coach. ,He kaiako ia. ,She is a teacher. ,ती एक प्रशिक्षक आहे. ,She is a coach. ,Тэр дасгалжуулагч. ,He is a coach. ,သူမသည်နည်းပြတစ်ယောက်ဖြစ်သည်။ ,She is a coach. ,उनी एक कोच हुन्। ,He is a coach. ,Hun er trener. ,She's a coach. ,Ndi mphunzitsi. ,He is a teacher. ,ସେ ଜଣେ ପ୍ରଶିକ୍ଷକ | ,He is a coach 
She is a developer.,Mpandrindra izy. ,He is a coordinator. ,Dia adalah pemaju. ,He is a developer. ,അവൾ ഒരു ഡവലപ്പർ ആണ്. ,She is a developer. ,Hija żviluppatur. ,She is a developer. ,He kaiwhakawhanake ia. ,He is a developer. ,ती विकासक आहे. ,She is a developer. ,Тэр бол хөгжүүлэгч юм. ,He is a developer. ,သူမသည် developer ဖြစ်ပါတယ်။ ,She is a developer. ,उनी विकासकर्ता हुन्। ,He is a developer. ,Hun er en utvikler. ,She is a developer. ,Iye ndi wopanga mapulogalamu. ,He is a programmer. ,ସେ ଜଣେ ବିକାଶକାରୀ | ,He is a developer 
She is a dietitian.,Sakafo ara-tsakafo izy. ,It is a nutritious food. ,Dia adalah pakar diet. ,He is a dietitian. ,അവൾ ഒരു ഡയറ്റീഷ്യൻ ആണ്. ,She is a dietitian. ,Hija dietista. ,She is a dietitian. ,He tohunga kai ia. ,He is a food expert. ,ती आहारतज्ञ आहे. ,She is a dietitian. ,Тэрээр хоолны дэглэм барьдаг. ,He is on a diet. ,သူမသည်အာဟာရဗေဒပညာရှင်ဖြစ်သည်။ ,She is a nutritionist. ,उनी डाईटिसियन हुन्। ,He is a dietitian. ,Hun er kostholdsekspert. ,She is a dietitian. ,Ndi katswiri wazakudya. ,He is a nutritionist. ,ସେ ଜଣେ ଡାଏଟିସିଆନ୍ | ,He is a dietitian 
She is an ecologist.,Mpahay ekolojia izy. ,He is an ecologist. ,Dia adalah ahli ekologi. ,He is an ecologist. ,അവൾ ഒരു പരിസ്ഥിതി ശാസ്ത്രജ്ഞയാണ്. ,She is an environmental scientist. ,Hija ekoloġista. ,She is an ecologist. ,He kaiao ia. ,It is ecologically . ,ती एक पर्यावरणशास्त्रज्ञ आहे. ,She is an environmentalist. ,Тэр бол экологич. ,He is an ecologist. ,သူမသည်ဂေဟဗေဒပညာရှင်ဖြစ်သည်။ ,She is an ecologist. ,उनी एक इकोलजिस्ट हुन्। ,She is an ecologist. ,Hun er økolog. ,She is an ecologist. ,Ndi katswiri wazachilengedwe. ,He is a naturalist. ,ସେ ଜଣେ ପରିବେଶବିତ୍ | ,He is an environmentalist 
She is an editor.,Mpanonta izy. ,He is a publisher. ,Dia adalah seorang penyunting. ,He is an editor. ,അവൾ ഒരു പത്രാധിപരാണ്. ,She is an editor. ,Hija editur. ,She is an editor. ,He etita ia. ,He is an editor. ,ती एक संपादक आहे. ,She is an editor. ,Тэр редактор юм. ,He is the editor. ,သူမသည်အယ်ဒီတာတစ် ဦး ဖြစ်သည်။ ,She is an editor. ,उनी एक सम्पादक हुन्। ,He is an editor. ,Hun er redaktør. ,She is an editor. ,Ndi mkonzi. ,It's an editor. ,ସେ ଜଣେ ସମ୍ପାଦକ | ,He is an editor 
She is an electrician.,Herinaratra izy. ,It is electric. ,Dia adalah juruelektrik. ,He is an electrician. ,അവൾ ഒരു ഇലക്ട്രീഷ്യനാണ്. ,She is an electrician. ,Hija elettriċista. ,She is an electrician. ,He hiko ia. ,He is an electrician. ,ती एक इलेक्ट्रिशियन आहे. ,She is an electrician. ,Тэр цахилгаанчин. ,He is an electrician. ,သူမသည်လျှပ်စစ်ဖြစ်သည်။ ,She is an electrician. ,उनी एक इलेक्ट्रिशियन हुन्। ,He is an electrician. ,Hun er elektriker. ,She's an electrician. ,Ndi wamagetsi. ,It's electric. ,ସେ ଜଣେ ବ electric ଦ୍ୟୁତିକ କର୍ମଚାରୀ | ,He is an electrician 
She is an EMT specialist.,Manam-pahaizana manokana momba ny EMT izy. ,He is an EMT specialist. ,Dia adalah pakar EMT. ,He is an EMT expert. ,അവൾ ഒരു ഇ എം ടി സ്പെഷ്യലിസ്റ്റാണ്. ,She is an EMT specialist. ,Hija speċjalista fl-EMT. ,She is an EMT specialist. ,He tohunga EMT ia. ,He is an EMT expert. ,ती ईएमटी तज्ञ आहे. ,She is an EMT expert. ,Тэрээр EMT-ийн мэргэжилтэн юм. ,He is an EMT specialist. ,သူမသည် EMT အထူးကျွမ်းကျင်သူဖြစ်သည်။ ,She is an EMT Specialist. ,उनी एक EMT विशेषज्ञ हुन्। ,He is an EMT specialist. ,Hun er EMT-spesialist. ,She is an EMT specialist. ,Ndi katswiri wa EMT. ,He is an EMT specialist. ,ସେ ଜଣେ EMT ବିଶେଷଜ୍ଞ | ,He is an EMT specialist 
She is a farmer.,Mpamboly izy. ,He is a farmer. ,Dia adalah seorang petani. ,He is a farmer. ,അവൾ ഒരു കർഷകയാണ്. ,She is a farmer. ,Hija bidwi. ,She is a farmer. ,He tangata ahu whenua ia. ,He was a farmer. ,ती एक शेतकरी आहे. ,She is a farmer. ,Тэр фермер. ,He is a farmer. ,သူသည်လယ်သမားတစ် ဦး ဖြစ်သည်။ ,He is a farmer. ,उनी एक किसान हुन्। ,He is a farmer. ,Hun er bonde. ,She's a farmer. ,Iye ndi mlimi. ,He is a farmer. ,ସେ ଜଣେ କୃଷକ | ,He is a farmer 
She is a filmmaker.,Mpanatontosa sarimihetsika izy. ,He is a filmmaker. ,Dia adalah seorang pembuat filem. ,He is a filmmaker. ,അവർ ഒരു ചലച്ചിത്രകാരിയാണ്. ,She is a filmmaker. ,Hija produttur tal-films. ,She is a film producer. ,He kaihanga kiriata ia. ,He is a filmmaker. ,ती एक चित्रपट निर्माते आहे. ,She is a filmmaker. ,Тэр бол кино найруулагч. ,He is a film director. ,သူမသည်ရုပ်ရှင်ရိုက်ကူးသူဖြစ်သည်။ ,She is a filmmaker. ,उनी एक फिल्म निर्माता हुन्। ,He is a filmmaker. ,Hun er filmskaper. ,She is a filmmaker. ,Ndiwopanga makanema. ,It's a movie maker. ,ସେ ଜଣେ ଚଳଚ୍ଚିତ୍ର ନିର୍ମାତା | ,He is a filmmaker 
She is a firefighter.,Izy dia mpamono afo. ,He is a firefighter. ,Dia adalah ahli bomba. ,He is a firefighter. ,അവൾ ഒരു അഗ്നിശമന സേനാംഗമാണ്. ,She is a firefighter. ,Hija pumpiera. ,She is a firefighter. ,He tangata tahu ahi ia. ,He was a firefighter. ,ती अग्निशामक आहे. ,She is a firefighter. ,Тэр бол гал сөнөөгч. ,He is a firefighter. ,သူမသည်မီးသတ်သမား ,She is a firefighter ,उनी फायर फाइटर हुन्। ,He is a firefighter. ,Hun er brannmann. ,She's a firefighter. ,Iye ndi wozimitsa moto. ,He is a firefighter. ,ସେ ଜଣେ ଅଗ୍ନିଶମ କର୍ମଚାରୀ। ,He is a firefighter. 
She is a fisherman.,Mpanjono izy. ,He is a fisherman. ,Dia adalah seorang nelayan. ,He is a fisherman. ,അവൾ ഒരു മത്സ്യത്തൊഴിലാളിയാണ്. ,She is a fisherman. ,Hija sajjied. ,She is a fisherman. ,He tangata hii ika ia. ,He is a fisherman. ,ती एक मच्छीमार आहे. ,She is a fisherman. ,Тэр бол загасчин юм. ,He is a fisherman. ,သူမသည်တံငါသည်ဖြစ်သည်။ ,She is a fisherman. ,उनी एक मछुवा हुन्। ,He is a fisherman. ,Hun er fisker. ,She's a fisherman. ,Iye ndi msodzi. ,He is a fisherman. ,ସେ ଜଣେ ମତ୍ସ୍ୟଜୀବୀ | ,He is a fisherman 
She is a flight attendant.,Mpanampy amin'ny sidina izy. ,He is a flight attendant. ,Dia adalah pramugari. ,She is a flight attendant. ,അവൾ ഒരു ഫ്ലൈറ്റ് അറ്റൻഡന്റാണ്. ,She is a flight attendant. ,Hija akkompanjatur tat-titjira. ,She is a flight attendant. ,He kaimahi rere ia. ,He is a flight attendant. ,ती फ्लाइट अटेंडंट आहे. ,She is a flight attendant. ,Тэр онгоцны үйлчлэгч юм. ,He is a flight attendant. ,သူမသည်လေယာဉ်မယ်။ ,She will fly. ,उनी एक उडान परिचर हुन्। ,She is a flight attendant. ,Hun er flyvertinne. ,She's a flight attendant. ,Ndiwothandizira ndege. ,He is a flight attendant. ,ସେ ଜଣେ ବିମାନ କର୍ମଚାରୀ। ,He is a flight attendant. 
She is a geneticist.,Izy dia génistista. ,He is a geneticist. ,Dia adalah ahli genetik. ,He is a geneticist. ,അവൾ ഒരു ജനിതകശാസ്ത്രജ്ഞയാണ്. ,She is a geneticist. ,Hija ġenetista. ,She is a geneticist. ,He tangata whakapapa ia. ,He is a genealogist. ,ती एक अनुवंशशास्त्रज्ञ आहे. ,She is a geneticist. ,Тэр бол генетикч. ,He is a geneticist. ,သူမသည်မျိုးရိုးဗီဇပညာရှင်ဖြစ်သည်။ ,She is a geneticist. ,उनी जेनेटिक विशेषज्ञ हुन्। ,He is a geneticist. ,Hun er genetiker. ,She's a geneticist. ,Ndi chibadwa. ,It's nature. ,ସେ ଜଣେ ଜେନେଟିକ୍ | ,He is a geneticist 
She is a geologist.,Izy dia geology. ,He is a geologist. ,Dia seorang ahli geologi. ,He is a geologist. ,അവൾ ഒരു ജിയോളജിസ്റ്റാണ്. ,She is a geologist. ,Hija ġeologa. ,She is a geologist. ,He tangata whenua ia. ,He is a native. ,ती भूगर्भशास्त्रज्ञ आहे. ,She is a geologist. ,Тэр бол геологич. ,He is a geologist. ,သူမသည်ဘူမိဗေဒပညာရှင်ဖြစ်သည်။ ,She is a geologist. ,उनी भूविज्ञानी हुन्। ,He is a geologist. ,Hun er geolog. ,She's a geologist. ,Iye ndi katswiri wa sayansi ya nthaka. ,He is a geologist. ,ସେ ଜଣେ ଭୂବିଜ୍ଞାନୀ | ,He is a geologist 
She is a graphic designer.,Mpamorona sary izy. ,He is a painter. ,Dia adalah pereka grafik. ,He is a graphic designer. ,അവൾ ഒരു ഗ്രാഫിക് ഡിസൈനറാണ്. ,She is a graphic designer. ,Hija disinjatur grafiku. ,She is a graphic designer. ,He kaihoahoa whakairoiro ia. ,He is a graphic designer. ,ती एक ग्राफिक डिझायनर आहे. ,She is a graphic designer. ,Тэр бол график дизайнер юм. ,He is a graphic designer. ,သူမသည်ဂရပ်ဖစ်ဒီဇိုင်နာတစ်ယောက်ဖြစ်သည်။ ,She is a graphic designer. ,उनी एक ग्राफिक डिजाइनर हुन्। ,She is a graphic designer. ,Hun er grafisk designer. ,She is a graphic designer. ,Ndiwojambula. ,He is an artist. ,ସେ ଜଣେ ଗ୍ରାଫିକ୍ ଡିଜାଇନର୍ | ,He is a graphic designer 
