Original,En2Hindi,Hindi2En,En2Urdu,Urdu2En,En2Arabic,Arabic2En,En2Pashto,Pashto2En,En2Turkish,Turkish2En
She is a firefighter.,वह फायर फाइटर है। ,He is a firefighter. ,وہ فائر فائٹر ہے۔ ,He is a firefighter. ,هي اطفاء. ,She is a firefighter. ,هغه اور وژونکې ده ,She is a firefighter ,O bir itfaiyeci. ,He is a fireman. 
She is a fisherman.,वह एक मछुआरा है। ,He is a fisherman. ,وہ ایک ماہی گیر ہے۔ ,He is a fisherman. ,هي صياد. ,She is a hunter. ,هغه کب نیولی ده ,He has caught fish ,O bir balıkçı. ,"[""He's a fisherman."", ""She's a fisherman.""]"
She is a flight attendant.,वह एक विमान परिचारिका है। ,She is an air hostess. ,وہ فلائٹ اٹینڈنٹ ہے۔ ,She is a flight attendant. ,انها مضيفة طيران. ,She is a flight attendant. ,هغه د الوتنې خدمتګار ده ,She is a flight attendant ,O bir uçuş görevlisi. ,"[""He's a flight attendant."", ""She's a flight attendant.""]"
She is a geneticist.,वह एक आनुवंशिकीविद् है। ,He is a geneticist. ,وہ جینیاتی ماہر ہیں۔ ,He is a geneticist. ,هي عالمة وراثة. ,She is a geneticist. ,هغه یوه ژنیتیک ده ,She is a geneticist ,O bir genetikçi. ,"[""He's a geneticist."", ""She's a geneticist.""]"
She is a geologist.,वह एक भूविज्ञानी है। ,He is a geologist. ,وہ ماہر ارضیات ہیں۔ ,He is a geologist. ,هي جيولوجية. ,She is geological. ,هغه یوه جیولوژیست ده ,She is a geologist ,O bir jeolog. ,"[""He's a geologist."", ""She's a geologist.""]"
She is a graphic designer.,वह एक ग्राफिक डिजाइनर है। ,He is a graphic designer. ,وہ ایک گرافک ڈیزائنر ہے۔ ,She is a graphic designer. ,هي مصممة جرافيك. ,She is a graphic designer. ,هغه یو ګرافیک ډیزاینر دی. ,He is a graphic designer. ,Kendisi bir grafik tasarımcıdır. ,"['He is a graphic designer.', 'She is a graphic designer.']"
She is a human resource specialist.,वह एक मानव संसाधन विशेषज्ञ हैं। ,He is an HR specialist. ,وہ ایک انسانی وسائل کی ماہر ہے۔ ,He is a human resource expert. ,هي أخصائية موارد بشرية. ,She is a human resources specialist. ,هغه د بشري سرچینو متخصصه ده. ,She is a human resources specialist. ,İnsan kaynakları uzmanıdır. ,"['He is a human resources expert.', 'She is a human resources expert.']"
She is an immunologist.,वह एक प्रतिरक्षाविज्ञानी है। ,He is an immunologist. ,وہ ایک امیونولوجسٹ ہیں۔ ,She is an immunologist. ,هي اختصاصية مناعة. ,She is an immunologist. ,هغه د معافیت څانگه ده ,He is the branch of immunity ,O bir immünologdur. ,"['He is an immunologist.', 'She is an immunologist.']"
She is an interpreters.,वह एक व्याख्याकार है। ,He is an explainer. ,وہ ایک ترجمان ہے۔ ,She is a spokesperson. ,هي مترجمة. ,She is translated. ,هغه یوه ترجمانه ده ,She is a translator ,O bir tercüman. ,"[""He's a translator."", ""She's a translator.""]"
She is a jeweller.,वह जौहरी है। ,She is a jeweler. ,وہ زیور ہے۔ ,She is an ornament. ,هي صائغة. ,She is a jeweler. ,هغه یو ګا .ه ده. ,She is a Ga. ,O bir kuyumcu. ,"[""He's a jeweler."", ""She's a jeweler.""]"
She is a lawyer.,वह एक वकील है। ,He is a lawyer. ,وہ ایک وکیل ہے۔ ,He is a lawyer. ,هي محامية. ,She is a lawyer. ,هغه یوه وکیله ده. ,She is a lawyer. ,O bir avukat. ,"[""He's a lawyer."", ""She's a lawyer.""]"
She is a librarian.,वह एक लाइब्रेरियन है। ,He is a librarian. ,وہ ایک لائبریرین ہے۔ ,She is a librarian. ,هي أمينة مكتبة. ,She is a librarian. ,هغه کتابتونکی ده ,She is a librarian ,O bir kütüphaneci. ,"[""He's a librarian."", ""She's a librarian.""]"
She is a licensed practical nurse.,वह एक लाइसेंस प्राप्त व्यावहारिक नर्स है। ,She is a licensed practical nurse. ,وہ ایک لائسنس یافتہ عملی نرس ہے۔ ,She is a licensed practical nurse. ,هي ممرضة عملية مرخصة. ,She is a licensed practical nurse. ,هغه جواز لرونکی عملي نرس ده. ,She is a licensed practical nurse. ,Lisanslı bir pratik hemşiredir. ,"['He is a licensed practical nurse.', 'She is a licensed practical nurse.']"
She is a mechanic.,वह एक मैकेनिक है। ,he is a mechanic. ,وہ ایک میکینک ہے۔ ,He is a mechanic. ,هي ميكانيكي. ,She is a mechanic. ,هغه میخانیک ده ,He is a mechanic ,O bir tamirci. ,"[""He's a mechanic."", ""She's a mechanic.""]"
She is a medical laboratory scientist.,वह एक चिकित्सा प्रयोगशाला वैज्ञानिक हैं। ,He is a medical laboratory scientist. ,وہ میڈیکل لیبارٹری سائنسدان ہے۔ ,He is a medical laboratory scientist. ,هي عالمة مختبرات طبية. ,She is a medical laboratory scientist. ,هغه د طبي لابراتوار ساینس پوه ده. ,He is a medical laboratory scientist. ,Tıbbi laboratuvar bilimcisi. ,Medical laboratory scientist. 
She is a meteorologist.,वह मौसम विज्ञानी हैं। ,He is a meteorologist. ,وہ ایک ماہر موسمیات ہیں۔ ,He is a meteorologist. ,هي عالمة أرصاد جوية. ,She is a meteorologist. ,هغه د هوا پیژندونکې ده. ,She is a meteorologist. ,O bir meteorolog. ,"[""He's a meteorologist."", ""She's a meteorologist.""]"
She is a midwife.,वह एक दाई है। ,She is a midwife. ,وہ دائی ہے۔ ,She is a midwife. ,هي قابلة. ,She is a midwife. ,هغه قابله ده ,She is a midwife ,O bir ebedir. ,He is a midwife. 
She is a military officer.,वह एक सैन्य अधिकारी है। ,He is a military officer. ,وہ ایک فوجی افسر ہے۔ ,He is a military officer. ,هي ضابطة عسكرية. ,She is a military officer. ,هغه نظامي افسره ده. ,She is a military officer. ,O bir askeri subay. ,"[""He's a military officer."", ""She's a military officer.""]"
She is a nutritionist.,वह एक पोषण विशेषज्ञ है। ,He is a nutritionist. ,وہ غذائیت پسند ہیں۔ ,They are nutritionists. ,هي أخصائية تغذية. ,She is a dietitian. ,هغه د تغذیه کونکی ده. ,She is a nutritionist. ,O bir beslenme uzmanıdır. ,"['He is a nutritionist.', 'She is a nutritionist.']"
She is an oceanographer.,वह एक समुद्र विज्ञानी हैं। ,He is an oceanographer. ,وہ ایک بحری سائنس دان ہے۔ ,He is a marine scientist. ,هي عالمة محيطات. ,She is an oceanographer. ,هغه یو ساینسپوه ده. ,She is a scientist. ,O bir oşinograf. ,"[""He's an oceanographer."", ""She's an oceanographer.""]"
She is an osteopath.,वह एक ओस्टियोपैथ है। ,He is an osteopath. ,وہ آسٹیوپیتھ ہے۔ ,She is an osteopath. ,هي طبيبة عظام. ,She is an orthopedist. ,هغه د اوسیدو درملنه ده. ,She is a treat for living. ,O bir osteopattır. ,"['He is an osteopath.', 'She is an osteopath.']"
She is a painter.,वह चित्रकार है। ,she is a painter. ,وہ ایک پینٹر ہے۔ ,He is a painter. ,هي رسامة. ,She is a painter. ,هغه یوه نقاشي ده ,She is a painter ,O bir ressamdır. ,"['He is a painter.', 'She is a painter.']"
She is a paramedic.,वह एक पैरामेडिक है। ,He is a paramedic. ,وہ ایک پیرامیڈک ہے۔ ,He is a paramedic. ,هي مسعفة. ,She is a medic. ,هغه پارامیډیک ده ,She is paramedic ,O bir sağlık görevlisi. ,"[""He's a paramedic."", ""She's a paramedic.""]"
She is a pathologist.,वह एक पैथोलॉजिस्ट है। ,He is a pathologist. ,وہ پیتھالوجسٹ ہیں۔ ,He is a pathologist. ,هي أخصائية علم الأمراض. ,She is a pathologist. ,هغه رنځپوه ده. ,She is a pathologist. ,O bir patolog. ,"[""He's a pathologist."", ""She's a pathologist.""]"
She is a pharmacologist.,वह एक फार्मासिस्ट है। ,He is a pharmacist. ,وہ فارماسولوجسٹ ہے۔ ,She is a pharmacologist. ,هي صيدلانية. ,She is a pharmacist. ,هغه د درملتون جوړونکې ده ,She is a pharmacist ,O bir farmakolog. ,"['He is a pharmacologist.', 'She is a pharmacologist.']"
She is a philosopher.,वह एक दार्शनिक हैं। ,He is a philosopher. ,وہ ایک فلسفی ہے۔ ,He is a philosopher. ,هي فيلسوفة. ,She is a philosopher. ,هغه یوه فیلسوفه ده ,He is a philosopher ,O bir filozof. ,"['He is a philosopher.', 'She is a philosopher.']"
She is a photographer.,वह एक फोटोग्राफर है। ,he is a photographer. ,وہ فوٹو گرافر ہے۔ ,She is a photographer. ,هي مصورة. ,She is pictured. ,هغه عکاسه ده ,She is a photographer ,O bir fotoğrafçı. ,"[""He's a photographer."", ""She's a photographer.""]"
She is a physician assistant.,वह एक चिकित्सक सहायक है। ,He is a medical assistant. ,وہ ایک معالج کی معاون ہے۔ ,She is a physician's assistant. ,هي طبيبة مساعدة. ,She is an assistant doctor. ,هغه د معاون ډاکټر ده. ,She is an assistant doctor. ,Hekim asistanıdır. ,"['He is a physician assistant.', 'She is a physician assistant.']"
She is a physicist.,वह एक भौतिक विज्ञानी है। ,He is a physicist. ,وہ ایک طبیعیات دان ہے۔ ,He is a physicist. ,هي فيزيائية. ,She is a physical. ,هغه فزیک پوه ده ,He is a physicist ,O bir fizikçi. ,"[""He's a physicist."", ""She's a physicist.""]"
She is a pilot.,वह एक पायलट है। ,He is a pilot. ,وہ پائلٹ ہے۔ ,He is a pilot. ,هي طيار. ,She is a pilot. ,هغه یوه پیلوټه ده ,She is a pilot ,O bir pilot. ,"[""He's a pilot."", ""She's a pilot.""]"
She is a plumber.,वह एक प्लम्बर है। ,He is a plumber. ,وہ ایک پلمبر ہے۔ ,She is a plumber. ,هي سباكة. ,She is a plumber. ,هغه پلمبره ده ,She is a plumber ,O bir tesisatçı. ,"[""He's a plumber."", ""She's a plumber.""]"
She is a politician.,वह एक राजनेता हैं। ,He is a politician. ,وہ سیاستدان ہیں۔ ,He is a politician. ,هي سياسية. ,It is political. ,هغه یوه سیاستواله ده ,She is a politician ,O bir politikacı. ,"[""He's a politician."", ""She's a politician.""]"
She is a receptionist.,वह एक रिसेप्शनिस्ट है। ,He is a receptionist. ,وہ استقبالیہ ہے۔ ,That is the reception. ,هي موظفة استقبال. ,She is a receptionist. ,هغه یوه استوګنه ده ,She is a resident ,O bir resepsiyonist. ,"[""He's a receptionist."", ""She's a receptionist.""]"
She is a registered nurse.,वह एक पंजीकृत नर्स है। ,She is a registered nurse. ,وہ رجسٹرڈ نرس ہے۔ ,She is a registered nurse. ,هي ممرضة مسجلة. ,She is a registered nurse. ,هغه راجسټر شوې نرس ده. ,She is a registered nurse. ,Kayıtlı bir hemşiredir. ,"['He is a registered nurse.', 'She is a registered nurse.']"
She is a salesman.,वह सेल्समैन है। ,He is a salesman. ,وہ ایک سیلزمین ہے۔ ,He is a salesman. ,هي بائعة. ,She is a saleswoman. ,هغه یو پلورونکی دی ,He is a salesman ,O bir satıcı. ,"[""He's a seller."", ""She's a seller.""]"
She is a salesperson.,वह एक विक्रेता है। ,He is a seller. ,وہ سیلز پرسن ہے۔ ,She is a sales person. ,هي مندوبة مبيعات. ,She is a sales representative. ,هغه د پلورنې مشره ده ,She is the sales leader ,O bir satış elemanı. ,"[""He's a salesperson."", ""She's a salesperson.""]"
She is a scientist.,वह एक वैज्ञानिक है। ,He is a scientist. ,وہ ایک سائنسدان ہے۔ ,He is a scientist. ,هي عالمة. ,She is a scientist. ,هغه ساینس پوه ده. ,He is a scientist. ,O bir bilim adamıdır. ,"['He is a scientist.', 'She is a scientist.']"
She is a sea captain.,वह एक समुद्री कप्तान है। ,He is a sea captain. ,وہ سی کپتان ہیں۔ ,He is a captain. ,هي قبطان بحري. ,She is a sea captain. ,هغه د سمندر کپتان ده ,He is the captain of the sea ,O bir deniz kaptanı. ,"[""He's a sea captain."", ""She's a sea captain.""]"
She is a secretary.,वह एक सचिव है। ,she's a secretary. ,وہ خاتون ایک سیکریٹری ہیں. ,That lady is a secretary. ,إنها سكرتيرة. ,She is a secretary. ,هغه منشي ده. ,She is the secretary. ,O bir sekreter. ,"[""He's a secretary."", ""She's a secretary.""]"
She is a singer.,वह एक गायिका है। ,She is a singer. ,وہ ایک گلوکارہ ہیں۔ ,She is a singer. ,أنها مغنية. ,She is a singer. ,هغه سندرغاړې ده ,She is a singer ,O bir şarkıcı. ,"[""He's a singer."", ""She's a singer.""]"
She is a solicitor.,वह एक वकील है। ,He is a lawyer. ,وہ ایک وکیل ہے۔ ,He is a lawyer. ,هي محامية. ,She is a lawyer. ,هغه یوه وکیله ده. ,She is a lawyer. ,O bir avukattır. ,"['He is a lawyer.', 'She is a lawyer.']"
She is a speech pathologist.,वह एक भाषण रोगविज्ञानी है। ,He is a speech pathologist. ,وہ اسپیچ پیتھالوجسٹ ہیں۔ ,He is a speech pathologist. ,هي أخصائية أمراض النطق. ,She is a speech pathologist. ,هغه د وینا رنځپوه ده. ,She is a speech pathologist. ,Konuşma patoloğu. ,Speech pathologist. 
She is a speech-language pathologist.,वह एक भाषण-भाषा रोग विशेषज्ञ हैं। ,He is a speech-language pathologist. ,وہ اسپیچ لینگویج ماہر نفسیات ہیں۔ ,She is a speech language psychologist. ,هي أخصائية أمراض النطق واللغة. ,She is a specialist in speech and language pathology. ,هغه د بیان ژبې رنځپوه ده. ,She is a rhetorician. ,Konuşma dili patoloğu. ,Speech language pathologist. 
She is a statistician.,वह एक सांख्यिकीविद् है। ,He is a statistician. ,وہ ایک شماریات دان ہے۔ ,He is a statistician. ,هي إحصائية. ,It is a statistic. ,هغه احصاییه ده ,He is a statistician ,O bir istatistikçi. ,"[""He's a statistician."", ""She's a statistician.""]"
She is a surveyor.,वह एक सर्वेक्षक है। ,He is a surveyor. ,وہ ایک سرویئر ہے۔ ,He is a surveyor. ,هي مساح. ,She is a surveyor. ,هغه یوه سروی ده. ,He is a surveyor. ,O bir eksper. ,"[""He's an expert."", ""She's an expert.""]"
She is a therapist.,वह एक चिकित्सक है। ,He is a doctor. ,وہ ایک معالج ہیں۔ ,He is a physician. ,هي معالجة. ,Are treated. ,هغه یو معالجه ده. ,She is a therapist. ,O bir terapist. ,"[""He's a therapist."", ""She's a therapist.""]"
She is an undertaker.,वह एक उपक्रमकर्ता है। ,He undertakes an undertaking. ,وہ ایک انڈر ٹیکر ہے۔ ,He is an Undertaker. ,هي متعهد. ,She is an undertaker. ,هغه ژمنه کونکی ده ,She is promising ,O bir cenazecidir. ,He is a funeral man. 
She is an urban planner.,वह एक शहरी योजनाकार है। ,He is an urban planner. ,وہ شہری منصوبہ ساز ہے۔ ,She is a city planner. ,هي مخططة حضرية. ,She is an urban planner. ,هغه ښاري پلان جوړونکې ده. ,She is an urban planner. ,O bir şehir plancısı. ,"[""He's a city planner."", ""She's a city planner.""]"
She is a videographer.,वह एक वीडियोग्राफर है। ,He is a videographer. ,وہ ویڈیو گرافر ہیں۔ ,He is a videographer. ,هي مصورة فيديو. ,She is a videographer. ,هغه یوه ویډیوګرافر ده ,She is a videographer ,O bir kameraman. ,He's a cameraman. 
She is a virologist.,वह एक वायरोलॉजिस्ट है। ,He is a virologist. ,وہ ایک ماہر معاشیات ہے۔ ,He is an economist. ,هي عالمة فيروسات. ,She is a virologist. ,هغه یوه ویروژیست ده. ,She is a virologist. ,O bir virolog. ,"[""He's a virologist."", ""She's a virologist.""]"
She is a visual artist.,वह एक दृश्य कलाकार हैं। ,He is a visual artist. ,وہ ایک بصری فنکار ہے۔ ,She is a visual artist. ,هي فنانة بصرية. ,She is a visual artist. ,هغه لید لیدونکی دی. ,He is a visionary. ,Görsel bir sanatçıdır. ,It is a visual artist. 
She is a waiter.,वह एक वेटर है। ,he is a waiter. ,وہ ایک ویٹر ہے۔ ,She is a waiter. ,هي نادلة. ,She is a waitress. ,هغه منتظر ده ,She is waiting ,O bir garson. ,He's a waitress. 
She is a web designer.,वह एक वेब डिजाइनर है। ,He is a web designer. ,وہ ایک ویب ڈیزائنر ہے۔ ,She is a web designer. ,هي مصممة الويب. ,She is a web designer. ,هغه یوه ویب ڈیزائنر ده ,She is a web designer ,O bir web tasarımcısıdır. ,"['He is a web designer.', 'She is a web designer.']"
She is a web developer.,वह एक वेब डेवलपर है। ,He is a web developer. ,وہ ایک ویب ڈویلپر ہے۔ ,She is a web developer. ,هي مطور ويب. ,She is a web developer. ,هغه د ویب پرمختیا کونکی ده ,She is a web developer ,O bir web geliştiricisidir. ,"['He is a web developer.', 'She is a web developer.']"
She is a zoologist.,वह एक प्राणीशास्त्री है। ,He is a zoologist. ,وہ ایک ماہر حیاتیات ہیں۔ ,She is a biologist. ,هي عالمة حيوان. ,She is an animal scientist. ,هغه ژوولوژیسته ده ,She is a zoologist ,O bir zoolog. ,"[""He's a zoologist."", ""She's a zoologist.""]"
